Unnamed: 0,Reference area,TIME_PERIOD,Average annual gross earnings [ PPP converted],Difficulty making ends meet [Percentage of population aged 16 years or over],Employment rate [Percentage of population aged 25-64 years],Feeling safe at night [Percentage of population aged 15 years or over],Households and NPISHs net adjusted disposable income per capita [ PPP converted],Housing affordability [Percentage of household gross adjusted disposable income],Life expectancy at birth [Years],Life satisfaction [0-10 scale],Long-term unemployment rate [Percentage of labour force],Social support [Percentage of population aged 15 years or over],Student reading skills [Points]
23,Australia,2006,62769.154,,74.309,63.0,36716.0,80.8464239144,81.0,,0.8819578978,96.1853591889,512.8932915909
24,Australia,2007,64500.872,,75.057,63.0,38144.0,80.8964268222,81.3,,0.8244756756,96.1853591889,513.5624128213001
25,Australia,2008,64995.647,,75.475,63.5,40098.0,81.1855974383,81.4,,0.807027429,94.7713258923,514.2315340517
26,Australia,2009,64406.029,,74.893,63.5,39776.0,80.6204494212,81.5,,0.8357393204,94.7713258923,514.9006552821
27,Australia,2010,66705.582,,75.444,63.5,41406.0,80.8330500738,81.7,,0.9892823526,94.7713258923,513.8684360666334
28,Australia,2011,68914.944,,75.798,65.3333333333,42084.0,80.5510945968,81.9,,0.98445803,94.4150057251,512.8362168511667
29,Australia,2012,69392.868,,75.589,65.3333333333,41572.0,80.0545623236,82.0,,1.013312533,94.4150057251,511.8039976357
30,Australia,2013,69189.387,,75.336,65.3333333333,42081.0,80.1322215913,82.1,,1.1106509409,94.4150057251,508.83618502666667
31,Australia,2014,69877.669,,75.05,63.6666666667,42674.0,80.2220013382,82.3,,1.3618565689,93.5628795368,505.86837241763334
32,Australia,2015,69464.852,,75.58,63.6666666667,42716.0,80.0728861988,82.4,,1.4567299967,93.5628795368,502.9005598086
33,Australia,2016,69806.581,,75.888,63.6666666667,43069.0,80.0577271726,82.4,,1.3934025953,93.5628795368,502.81094797123336
34,Australia,2017,69579.169,,76.38,63.6666666667,43399.0,79.979501148,82.5,,1.3578997436,94.095000821,502.72133613386666
35,Australia,2018,69832.234,,76.917,63.6666666667,43982.0,80.1975387194,82.8,,1.343368105,94.095000821,502.6317242965
36,Australia,2019,70501.846,,77.598,63.6666666667,45273.0,80.6573342446,82.9,7.5,1.2395478944,94.095000821,501.486293222375
37,Australia,2020,71915.394,,76.129,67.6666666667,47039.0,81.0374823109,83.2,7.2,1.3068412847,92.9694706655,500.34086214825004
38,Australia,2021,72716.686,,77.851,67.6666666667,48641.0,81.6531283455,83.3,,1.4979282385,92.9694706655,499.195431074125
39,Australia,2022,71109.992,,79.578,67.6666666667,46375.0,81.032666415,83.2,,0.940274806,92.9694706655,498.05
40,Australia,2023,70422.098,,80.1,67.0,45485.0,80.4740641886,83.0,,0.7322524778,89.3636183725,
44,Austria,2006,69651.63,7.8,72.09,75.0,45186.0,80.5407381449,80.1,,1.4806759903,91.6049182182,490.1939773816
45,Austria,2007,70059.18,10.9,73.36,76.16666666665,46205.0,80.9183867474,80.3,,1.3413049521,91.52884525959999,483.5571956215333
46,Austria,2008,71218.017,14.0,74.34,77.3333333333,46668.0,80.7264356056,80.6,,1.0191233506,91.452772301,476.92041386146667
47,Austria,2009,72435.383,15.4,74.041,77.3333333333,46927.0,80.6919805343,80.5,,1.1681729816,91.452772301,470.2836321014
48,Austria,2010,72103.745,14.4,74.646,77.3333333333,46352.0,80.1800346659,80.7,,1.2468724191,91.452772301,476.72553312286664
49,Austria,2011,71327.643,14.4,74.745,83.0,45582.0,79.6906692922,81.1,,1.2161709866,93.9589030272,483.16743414433336
50,Austria,2012,71731.843,14.0,75.155,83.0,46342.0,79.8114982411,81.1,,1.2309270774,93.9589030272,489.6093351658
51,Austria,2013,71761.772,14.0,75.27,83.0,45159.0,79.2066632087,81.3,7.8100056064,1.3336725501,93.9589030272,488.02808915730003
52,Austria,2014,72033.928,14.9,75.027,80.6666666667,45131.0,79.2580931766,81.6,7.84848774394,1.552969039,91.5153156883,486.4468431488
53,Austria,2015,72558.786,13.4,75.159,80.6666666667,45022.0,79.2105374973,81.3,7.88696988148,1.7012154464,91.5153156883,484.8655971403
54,Austria,2016,73253.777,12.8,75.744,80.6666666667,45586.0,79.3050425241,81.8,7.92545201902,1.9731612971,91.5153156883,484.70792091616664
55,Austria,2017,73263.137,11.5,76.423,84.0,45694.0,79.1502390374,81.7,7.96393415656,1.864470732,92.1018243735,484.55024469203335
56,Austria,2018,73540.157,11.3,77.178,84.0,46107.0,79.3418907548,81.8,8.0024162941,1.4221072354,92.1018243735,484.3925684679
57,Austria,2019,74147.783,10.7,77.654,84.0,46162.0,79.2029613777,82.0,7.998926154966666,1.1440468888,92.1018243735,483.396926350925
58,Austria,2020,74353.046,9.4,76.457,82.3333333333,45404.0,78.7387693976,81.3,7.9954360158333335,1.3345461864,88.6930648755,482.40128423395004
59,Austria,2021,75501.799,10.1,76.428,82.3333333333,47037.0,78.9315567186,81.3,7.9919458767,1.9759346218,88.6930648755,481.405642116975
60,Austria,2022,73761.494,11.9,78.006,82.3333333333,47149.0,79.227485712,81.4,7.8826444055,1.2140896407,88.6930648755,480.41
61,Austria,2023,73585.512,13.6,77.92,83.0,46610.0,79.3439751966,81.9,7.696147497,1.1559282873,89.6883561137,
65,Belgium,2006,71462.223,16.5,68.496,68.5,40844.0,81.5416206117,79.5,,4.239453599,92.2557985583,500.9005946813
66,Belgium,2007,71329.639,15.3,69.805,68.5,41511.0,81.9028541332,79.9,,3.7672469613,92.2557985583,502.5823285089
67,Belgium,2008,71637.445,21.4,70.263,65.5,42108.0,81.4789201093,79.8,,3.3253557241,92.2556829548,504.2640623365
