Reference area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Australia,61629.11,62347.376,62769.154,64500.872,64995.647,64406.029,66705.582,68914.944,69392.868,69189.387,69877.669,69464.852,69806.581,69579.169,69832.234,70501.846,71915.394,72716.686,71109.992,70422.098,70736.187
Austria,68251.938,68622.299,69651.63,70059.18,71218.017,72435.383,72103.745,71327.643,71731.843,71761.772,72033.928,72558.786,73253.777,73263.137,73540.157,74147.783,74353.046,75501.799,73761.494,73585.512,75767.15
Belgium,71660.301,70980.025,71462.223,71329.639,71637.445,72634.832,72299.056,73038.155,73628.817,74358.208,74774.678,74266.295,74425.268,73904.426,74341.899,75073.885,72792.596,75091.965,73530.44,75661.615,76108.816
Canada,55892.446,57506.9,59258.083,60840.573,61908.661,62311.323,62422.417,63173.717,63921.863,64599.0,65442.989,65924.573,64675.087,65726.977,66959.594,67227.517,69662.78,70001.671,69304.208,69299.313,69417.073
Chile,24981.231,24808.612,25631.169,26349.265,27012.562,29779.905,35908.976,36737.254,37815.107,38814.65,39167.092,39051.772,40782.724,39507.714,36110.511,36691.696,36888.052,38873.961,37686.292,38129.817,
Colombia,,22002.526,22809.761,23830.082,26417.795,27501.048,28461.265,28377.165,29104.222,29850.692,29834.603,29932.51,29598.443,30418.012,31584.761,31758.683,36133.458,32695.881,29303.999,28838.464,
Costa Rica,25433.599,23170.72,24045.977,23593.506,24545.965,27943.171,29179.838,30579.002,31245.25,33788.905,33972.59,36256.207,37745.751,37607.974,38382.49,39452.125,43228.685,42225.891,38739.337,41009.612,
Czechia,27857.034,28675.751,29825.319,30715.292,30879.781,30756.05,31700.884,31959.981,32018.481,31818.34,32490.151,33445.873,34626.923,36395.807,38323.807,39915.376,39341.541,40135.831,37617.582,36949.005,38488.506
Denmark,61976.35,63038.747,64102.136,64827.291,65677.609,66793.949,67451.721,67077.854,67055.86,67497.153,68871.256,69973.719,70638.756,71066.106,71592.006,72106.287,73125.234,73584.662,71149.429,71462.794,74021.697
Estonia,21019.374,22420.117,24478.224,28452.546,28825.241,28129.372,27819.144,27175.801,27586.879,28264.041,29821.57,31216.866,32810.922,33537.411,35721.443,37497.18,39457.72,41669.419,38592.076,38139.995,38974.828
Finland,57299.261,54699.991,55832.155,56578.255,57062.003,57554.528,58350.533,58367.329,58413.308,57831.072,57810.162,58263.321,58774.142,58437.299,58869.605,59719.832,60043.151,62132.388,60104.436,59420.701,59596.576
France,53626.317,54272.509,54878.616,55079.217,54973.952,56721.996,57867.381,57763.65,58139.541,58637.643,59043.357,59600.312,60284.45,61120.078,61041.792,61631.808,58590.773,60900.747,61156.437,60140.542,60608.014
Germany,60330.633,60548.73,60537.007,60353.389,60623.392,60635.353,61167.671,62400.788,63233.321,63828.7,64898.733,66389.948,67409.631,68117.688,69070.405,70225.225,69750.812,69828.515,68225.562,68104.229,69433.062
Greece,41242.818,41105.138,41594.07,41601.751,40957.926,42891.359,40933.437,38335.701,36104.342,33745.986,33606.424,33936.951,33157.589,33370.147,31829.651,31882.627,31976.297,32289.469,31456.577,31597.68,32257.112
Hungary,26190.93,27345.736,27877.907,27670.672,28055.994,26452.704,26802.232,27148.976,26244.593,25976.842,25636.604,25835.254,26069.948,27955.618,29318.328,30298.509,30821.627,31645.722,32759.474,32474.997,34995.811
Iceland,71030.44,76539.877,80566.342,82985.67,73566.242,62183.343,64060.544,66793.687,66427.118,67427.785,68381.198,72888.166,78720.857,86214.703,91021.622,88097.742,82713.41,86206.495,92240.416,89721.349,89946.906
Ireland,51708.12,53861.177,54288.467,55888.29,58373.039,64061.323,64335.697,63412.573,62869.758,61470.405,60949.836,60933.287,61730.604,62480.204,63347.332,64344.194,65332.968,64711.861,62339.33,60608.14,60430.786
Israel,46496.539,46413.157,47608.336,48083.278,47304.286,45930.937,46050.491,46450.323,43666.356,43789.931,44091.88,45519.095,47392.896,48888.35,50463.154,51594.618,51659.105,54409.394,54890.211,54854.049,54736.243
Italy,53082.932,53804.76,54145.431,54117.354,54044.753,54458.768,54924.154,54047.93,52332.384,52503.553,52707.893,53164.084,53589.312,53246.292,53306.5,53572.199,51015.812,53317.266,51949.802,50514.489,51018.982
Japan,49163.656,50397.427,50222.681,50390.78,50164.902,49529.637,49375.434,49616.592,49644.884,49936.622,49496.878,49205.864,49740.502,49777.928,50604.706,51098.125,50712.225,51137.748,50458.369,49173.069,49445.911
Korea,39625.005,40847.315,41373.508,42268.439,42142.402,42361.053,43026.011,43590.135,42949.364,44034.29,44125.622,45352.307,46681.35,47779.484,49425.225,51122.939,52298.597,52412.095,50671.795,50313.68,50946.72
Latvia,18196.491,21165.693,23338.073,28773.98,29681.996,26801.812,25768.008,24870.688,25876.373,27119.293,28938.041,31375.186,33233.557,34420.115,35685.662,37147.565,38610.604,40614.793,40273.132,42274.951,45566.516
Lithuania,26471.708,29249.221,33489.286,35654.716,36323.243,31626.367,31758.434,32420.53,32964.183,34226.743,35812.86,38092.31,39942.09,42212.131,44113.004,47083.642,49473.525,52684.642,49495.171,50193.51,52897.636
Luxembourg,76148.374,76530.278,77569.978,79675.875,79223.593,81692.587,81739.542,82194.267,81359.539,82342.673,83690.422,84159.079,83934.204,84984.027,85458.782,85635.098,85931.942,90159.966,89854.533,93059.463,94446.74
Mexico,21723.603,21546.183,21698.447,21469.123,20972.835,20942.67,19315.622,19793.416,19539.082,19963.584,19825.837,20463.008,20027.502,19870.514,20213.734,20570.182,19801.314,20366.145,20606.929,20835.526,20422.85
Netherlands,75061.66,75061.284,74897.943,75941.883,76402.584,79334.372,79440.635,79184.004,79447.713,79685.527,79252.486,80217.997,80537.957,79950.742,79065.384,78508.106,80227.278,79311.801,76238.334,74549.094,75370.097
New Zealand,47232.702,48031.868,48326.759,51149.289,50555.355,51172.793,51733.264,51694.982,52811.673,52104.127,52307.73,53250.01,54984.814,55362.023,56744.507,58453.96,59982.433,62548.88,61835.637,61949.652,62436.576
Norway,57758.464,59426.977,61799.096,64542.772,65899.843,66588.673,67461.662,69832.75,71736.757,73205.926,73536.862,73904.025,72707.21,72524.731,72871.271,74180.068,74389.481,76396.354,75862.057,75026.67,74863.73
Poland,28287.634,28176.716,28365.129,29294.747,30833.397,30813.827,32067.767,32244.936,31928.483,32275.745,33012.234,33825.151,35614.62,37071.011,39436.413,41872.122,42609.587,42383.302,40538.726,41577.518,44210.61
Portugal,37371.102,37166.811,36360.178,36602.684,36480.541,37908.795,37767.447,36895.314,35275.049,35943.669,35355.799,35271.283,35282.081,35428.086,36005.681,37404.247,37661.36,38404.49,37961.497,38958.113,40002.449
Slovak Republic,23539.214,24984.059,25845.462,27434.759,27714.633,28660.257,29920.694,29656.066,29283.472,29511.472,30100.992,31285.978,32277.78,33232.174,34174.491,35290.917,35748.465,36557.14,34643.779,34562.22,36105.364
Slovenia,42724.569,44283.773,45668.196,46661.884,47434.116,47897.977,49258.775,49094.396,47523.031,46973.509,47812.342,48736.662,50550.525,51713.13,52643.212,54122.774,55726.116,58106.435,55930.334,58531.994,61776.28
Spain,50971.497,51191.285,50946.93,51498.848,53318.729,56675.193,56137.603,55135.424,53590.706,53598.418,53430.788,54228.251,53926.995,53224.488,53084.228,53700.459,53463.182,55356.659,53954.498,54459.604,54564.408
Sweden,47711.077,48903.574,50273.23,51961.973,52957.345,53136.007,53787.945,54613.811,55767.103,56389.216,57017.496,57866.957,58772.062,59097.301,59392.321,60019.439,60782.828,62240.011,60566.698,59058.071,60415.321
Switzerland,76996.722,78204.109,78428.306,79355.894,79783.509,81197.456,80823.349,81342.649,82526.691,83599.467,83762.274,84264.574,83965.905,83569.001,83328.535,84911.132,83154.689,86386.832,87339.04,86535.328,87468.235
Türkiye,22601.419,23452.568,23581.01,24392.658,24252.388,24527.374,25137.487,25543.945,26574.876,27798.209,28746.408,29471.369,33097.871,32475.343,33061.616,35161.578,34948.959,36232.508,35675.551,47252.567,
United Kingdom,58770.982,59357.288,60350.978,62815.579,61138.752,60961.878,61224.207,60107.071,59635.157,60147.759,60339.735,61166.958,61886.804,62302.379,62515.19,63237.752,62432.983,63586.187,62476.54,62797.046,63690.773
United States,67897.332,67961.013,68978.508,70283.563,70110.671,70813.355,71439.498,71536.739,72146.935,71827.448,72956.685,74825.132,74951.209,75768.867,76663.545,78044.387,82783.413,84211.21,81837.833,82078.428,82932.937
