Reference area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Austria,10.7,9.6,7.8,10.9,14.0,15.4,14.4,14.4,14.0,14.0,14.9,13.4,12.8,11.5,11.3,10.7,9.4,10.1,11.9,13.6,13.1
Belgium,18.2,17.1,16.5,15.3,21.4,21.1,20.8,20.9,22.1,21.0,20.2,20.5,21.5,20.9,19.1,19.1,16.8,15.6,16.7,15.5,17.1
Bulgaria,,71.2,71.2,68.0,63.8,63.1,65.0,62.4,65.9,65.2,63.2,64.0,61.7,58.4,55.9,50.1,43.7,37.1,40.3,33.2,37.4
Canada,,,,,,,,,,,,,,,21.9,,,20.4,,,
Croatia,,,,,,,52.9,51.9,55.8,62.5,60.9,54.4,51.4,43.9,42.7,35.5,33.5,27.3,26.6,22.0,19.8
Czechia,,30.1,29.0,26.4,28.2,27.9,27.5,28.3,31.1,31.7,30.7,26.6,23.2,22.0,16.2,13.1,12.1,11.4,12.3,13.4,14.2
Denmark,7.9,6.8,8.2,6.5,7.9,9.2,8.7,9.3,10.6,11.8,11.8,10.4,10.0,9.4,9.3,9.4,8.5,8.1,10.3,13.2,12.8
Estonia,15.3,12.3,15.4,11.0,11.2,20.5,25.5,24.3,24.1,23.4,19.7,16.2,15.4,14.3,13.9,11.2,9.1,7.8,9.5,11.6,9.9
Finland,9.5,8.5,8.0,7.6,8.1,6.8,6.9,7.4,7.1,6.9,7.4,7.0,6.9,6.7,6.1,6.4,6.8,5.9,6.1,7.5,8.9
France,17.7,16.2,15.8,16.1,15.9,19.1,20.2,19.7,19.5,20.7,20.7,19.9,19.2,18.1,18.3,16.8,18.5,16.6,21.7,22.1,21.8
Germany,,11.5,8.1,6.1,6.7,10.3,8.9,9.4,9.2,9.1,8.5,7.6,6.9,6.1,5.9,5.1,5.7,6.7,8.5,9.7,7.3
Greece,45.4,50.8,52.6,52.4,54.5,57.0,58.4,62.6,73.1,78.3,78.1,77.7,76.8,77.2,74.1,71.0,69.8,71.0,68.4,67.0,66.7
Hungary,,35.4,37.1,40.9,44.1,55.0,56.8,57.6,58.1,54.9,49.5,46.6,42.8,41.2,34.7,28.0,27.9,26.2,22.1,22.7,19.9
Iceland,18.8,13.2,11.2,11.3,9.5,16.9,25.8,24.8,23.2,23.7,21.3,19.8,14.1,12.1,11.1,12.4,9.4,,,,
Ireland,25.0,24.9,24.9,21.8,23.6,26.5,33.3,32.1,34.2,36.8,36.4,31.8,27.4,23.6,20.9,18.5,16.8,15.4,17.9,16.6,16.9
Italy,34.2,34.8,35.7,37.7,38.9,37.3,37.7,38.0,40.1,41.5,40.2,37.9,33.3,28.1,30.3,22.9,23.8,24.3,22.3,18.7,18.7
Latvia,,52.1,46.8,39.9,39.8,48.0,56.0,57.0,52.1,54.4,49.0,42.7,39.3,40.5,32.1,25.0,24.2,20.1,23.9,24.0,23.3
Lithuania,,30.3,28.7,23.7,25.9,34.4,37.7,35.9,37.5,32.9,29.4,28.9,29.6,28.2,23.4,19.0,15.1,12.9,12.6,13.4,11.4
Luxembourg,6.7,6.3,5.5,6.6,7.3,7.6,8.3,9.3,10.2,13.4,11.9,12.4,12.4,12.6,12.8,10.5,12.4,10.0,5.8,6.1,8.5
Mexico,,,,,,,,,,,,,,,,,,43.4,,,
Netherlands,,16.9,14.0,10.4,11.0,10.2,12.1,12.5,12.7,15.5,15.0,12.9,12.6,11.5,10.0,10.1,7.5,5.6,6.9,7.3,7.3
New Zealand,,,,,15.4,,16.6,,15.3,,12.2,,11.2,,10.0,,,8.8,,,
Norway,8.4,8.7,8.2,5.9,6.8,7.3,6.0,7.2,6.4,6.6,4.7,5.1,5.4,5.7,6.3,7.1,6.3,7.4,7.5,9.1,9.8
Poland,,51.5,46.9,40.2,35.6,34.4,34.6,32.5,34.2,32.5,29.7,29.4,24.8,22.1,18.6,15.7,15.9,13.7,15.3,15.1,11.5
Portugal,35.6,36.8,36.8,37.5,46.7,46.1,44.9,41.8,40.5,46.9,43.7,40.4,36.7,33.6,29.2,25.8,20.7,20.9,23.3,23.6,21.8
Romania,,,,50.5,47.6,48.6,49.0,48.9,50.0,51.0,48.5,45.6,44.1,37.4,36.0,32.0,35.9,29.0,26.0,27.7,23.8
Slovak Republic,,30.5,34.9,30.6,35.0,31.6,31.9,30.4,33.5,36.6,33.9,32.7,29.6,26.2,25.4,28.3,28.7,26.6,27.7,30.3,28.7
Slovenia,,27.2,24.3,20.2,26.1,25.7,28.6,29.5,28.5,33.1,30.6,28.7,25.9,22.6,20.5,17.4,17.0,11.5,14.2,14.5,13.6
Spain,29.5,27.8,30.9,28.0,31.9,34.0,33.8,29.0,34.7,38.8,39.1,35.2,35.6,25.1,27.1,22.0,22.8,21.6,22.1,22.6,21.9
Sweden,10.3,8.5,8.3,7.6,9.9,8.8,8.3,9.5,8.4,7.7,7.9,7.1,7.6,7.0,8.0,7.6,7.4,7.4,7.2,9.3,9.9
Switzerland,,,,8.1,8.567,11.641,11.311,12.829,11.966,11.876,12.3,11.2,12.7,12.0,12.0,12.2,10.9,9.5,10.0,9.9,
Türkiye,,,59.2,61.6,58.2,60.8,,56.7,58.1,56.5,43.7,45.1,33.1,16.2,13.6,,22.0,29.9,34.0,33.2,32.2
United Kingdom,,13.1,13.7,13.6,17.0,16.8,16.4,16.5,20.2,21.1,20.3,16.4,16.3,14.1,12.8,8.1,7.2,6.6,7.2,,
