Reference area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Argentina,,,,,,,,,,,,,72.432,73.548,72.632,73.067,70.181,75.428,76.746,77.853,
Australia,72.397,73.679,74.309,75.057,75.475,74.893,75.444,75.798,75.589,75.336,75.05,75.58,75.888,76.38,76.917,77.598,76.129,77.851,79.578,80.1,80.266
Austria,69.865,70.806,72.09,73.36,74.34,74.041,74.646,74.745,75.155,75.27,75.027,75.159,75.744,76.423,77.178,77.654,76.457,76.428,78.006,77.92,78.197
Belgium,67.677,68.646,68.496,69.805,70.263,69.756,70.266,69.979,70.05,70.321,70.501,70.282,70.933,71.89,72.977,73.604,73.468,74.057,75.41,75.456,75.825
Brazil,72.157,72.715,73.054,72.696,73.593,73.219,,72.382,68.974,69.582,69.697,69.199,68.913,68.046,68.546,69.237,63.815,65.033,68.937,70.692,71.813
Bulgaria,62.425,64.238,67.366,70.794,72.972,71.395,67.436,65.98,66.115,66.712,68.352,70.363,70.801,74.117,75.329,77.678,76.384,76.493,78.859,79.434,80.314
Canada,76.042,76.035,76.155,76.631,76.63,75.122,75.252,75.559,76.015,76.326,76.009,76.137,76.117,76.925,77.568,78.088,74.613,77.408,79.252,79.814,79.198
Chile,63.956,65.092,66.303,67.397,68.197,67.101,69.816,71.835,72.703,73.338,73.121,73.182,72.919,73.53,73.729,73.926,65.217,67.673,70.97,72.13,73.484
Colombia,69.177,70.045,,68.787,69.285,70.75,72.041,73.044,73.695,73.682,73.949,74.227,73.819,73.417,72.736,71.401,63.133,66.015,69.93,71.243,71.196
Costa Rica,67.883,70.777,70.579,71.874,71.679,70.49,69.745,67.318,70.691,70.779,70.721,69.537,67.634,68.622,69.654,71.059,63.41,66.129,69.056,67.228,69.029
Croatia,61.47,62.14,62.806,66.159,67.204,66.525,64.517,62.57,61.135,60.515,62.14,63.501,63.194,65.348,67.371,68.657,69.24,71.17,72.458,73.539,76.469
Czechia,72.676,73.373,73.773,74.489,75.103,73.84,73.452,74.171,74.719,75.801,76.711,77.72,79.505,81.165,82.506,82.835,82.472,82.701,84.156,84.788,85.498
Denmark,78.428,78.815,80.354,79.748,79.914,76.91,76.005,76.068,75.871,76.044,76.388,77.235,77.917,78.342,79.335,80.068,79.544,80.741,81.999,81.459,81.527
Estonia,71.975,73.713,78.392,79.232,79.071,72.82,70.032,73.38,74.905,76.105,76.744,78.444,78.235,79.99,80.428,81.287,80.71,81.002,83.453,83.592,83.415
Finland,73.847,74.578,75.439,76.006,76.936,75.199,74.62,75.373,75.585,75.035,74.824,74.718,75.08,75.911,78.046,78.935,78.557,78.72,80.184,79.989,78.829
France,71.338,71.287,71.286,71.645,72.194,71.306,71.248,71.171,71.513,71.546,71.737,71.844,72.328,72.878,73.473,73.853,73.915,75.389,76.045,76.38,77.161
Germany,69.773,70.485,72.18,73.992,75.039,75.382,76.15,77.674,78.202,78.649,79.097,79.362,80.081,80.64,81.303,81.953,80.505,80.628,81.662,82.122,82.39
Greece,66.582,67.471,68.543,68.672,69.122,68.348,66.605,62.466,57.892,55.643,56.045,57.644,59.101,60.553,62.288,64.101,64.043,65.389,69.07,70.04,71.981
Hungary,64.536,64.963,65.417,65.055,64.359,65.608,65.299,65.901,67.034,68.384,71.781,73.891,76.436,78.031,77.012,78.071,77.695,81.647,83.193,83.815,84.159
Iceland,85.567,86.046,86.533,87.023,85.646,81.379,81.321,81.22,81.782,82.729,83.318,85.202,86.516,85.959,84.746,84.272,81.301,82.75,85.808,86.233,87.612
Indonesia,,71.563,70.646,70.8,72.04,72.853,73.868,74.836,75.467,74.979,75.201,74.667,74.271,74.743,74.518,74.476,,,,,
Ireland,71.992,73.229,73.946,74.32,73.247,68.464,66.54,65.616,65.652,67.451,69.137,70.896,72.054,74.121,75.533,76.686,75.671,76.875,80.198,81.07,81.752
Israel,67.445,68.269,69.328,70.857,71.775,70.824,71.871,72.862,74.037,74.518,75.525,76.202,76.611,77.066,77.495,77.695,76.175,75.711,78.583,78.911,78.423
Italy,63.264,63.429,64.403,64.762,64.891,63.878,63.367,63.583,63.543,62.635,62.917,63.583,64.499,65.27,65.917,66.413,65.501,65.622,67.547,69.066,70.054
Japan,74.632,75.014,75.624,76.373,76.389,75.766,75.915,76.046,76.388,77.544,78.66,79.408,80.418,81.532,82.791,83.463,83.261,83.62,84.372,84.754,85.145
Korea,71.301,71.224,71.735,72.013,72.112,71.165,71.581,72.215,72.557,72.959,73.708,73.816,73.859,74.22,74.053,73.972,72.78,72.996,74.832,75.724,76.066
Latvia,69.902,70.884,74.92,76.968,77.275,69.51,67.217,69.462,70.862,72.501,72.927,74.384,75.133,76.435,78.226,79.009,78.642,77.075,78.578,79.089,79.171
Lithuania,73.243,74.604,74.776,76.313,75.29,70.897,68.368,71.126,72.481,73.556,74.993,76.405,78.163,78.845,80.367,80.564,79.356,79.871,80.957,80.399,80.994
Luxembourg,70.353,71.542,71.862,72.74,71.513,73.174,74.222,73.75,74.96,74.648,75.67,73.785,73.856,74.667,74.901,75.699,75.541,77.055,78.276,78.12,77.331
Mexico,66.617,66.652,67.646,67.707,67.487,66.972,66.722,67.199,68.102,68.157,67.673,68.13,68.467,68.511,68.944,69.46,66.418,67.824,69.712,70.907,70.939
Netherlands,72.673,73.207,74.168,75.865,77.457,77.428,76.938,77.034,77.357,76.728,76.49,77.368,78.269,79.195,80.442,81.39,81.561,82.109,83.227,83.828,83.82
New Zealand,77.843,79.168,79.403,79.838,79.693,78.697,78.436,78.921,78.404,79.249,80.392,80.115,81.437,82.695,82.974,82.768,82.13,83.232,84.108,84.589,83.916
Norway,79.487,79.407,80.635,81.99,82.79,82.063,81.057,81.265,81.547,81.204,81.318,80.662,80.438,80.103,80.813,81.145,80.449,81.481,82.179,81.616,81.323
Peru,79.405,78.952,80.521,82.586,81.909,82.52,83.199,83.481,83.111,82.827,82.605,82.088,82.792,83.011,82.949,83.128,70.919,79.579,81.309,79.826,79.865
