Reference area,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Argentina,41.5,41.5,39.3333333333,39.3333333333,39.3333333333,46.3333333333,46.3333333333,46.3333333333,41.3333333333,41.3333333333,41.3333333333,41.0,41.0,41.0,49.3333333333,49.3333333333,49.3333333333,44.5,44.5
Australia,63.0,63.0,63.5,,63.5,65.3333333333,65.3333333333,65.3333333333,63.6666666667,63.6666666667,63.6666666667,63.6666666667,63.6666666667,63.6666666667,67.6666666667,67.6666666667,67.6666666667,67.0,67.0
Austria,75.0,,77.3333333333,77.3333333333,77.3333333333,83.0,83.0,83.0,80.6666666667,80.6666666667,80.6666666667,84.0,84.0,84.0,82.3333333333,82.3333333333,82.3333333333,83.0,83.0
Belgium,68.5,68.5,65.5,,65.5,64.3333333333,64.3333333333,64.3333333333,70.6666666667,70.6666666667,70.6666666667,65.6666666667,65.6666666667,65.6666666667,65.6666666667,65.6666666667,65.6666666667,71.0,71.0
Brazil,38.0,38.0,41.6666666667,41.6666666667,41.6666666667,42.6666666667,42.6666666667,42.6666666667,37.3333333333,37.3333333333,37.3333333333,35.0,35.0,35.0,47.0,47.0,47.0,49.5,49.5
Bulgaria,47.0,,,55.0,55.0,56.0,56.0,56.0,56.0,56.0,56.0,57.6666666667,57.6666666667,57.6666666667,65.6666666667,65.6666666667,65.6666666667,65.5,65.5
Canada,77.5,77.5,77.3333333333,77.3333333333,77.3333333333,79.6666666667,79.6666666667,79.6666666667,81.0,81.0,81.0,82.3333333333,82.3333333333,82.3333333333,77.3333333333,77.3333333333,77.3333333333,74.0,74.0
Chile,39.0,39.0,44.6666666667,44.6666666667,44.6666666667,53.6666666667,53.6666666667,53.6666666667,51.0,51.0,51.0,46.6666666667,46.6666666667,46.6666666667,40.0,40.0,40.0,37.5,37.5
Colombia,54.0,54.0,45.6666666667,45.6666666667,45.6666666667,46.0,46.0,46.0,45.3333333333,45.3333333333,45.3333333333,46.0,46.0,46.0,45.6666666667,45.6666666667,45.6666666667,47.0,47.0
Costa Rica,49.5,49.5,43.3333333333,43.3333333333,43.3333333333,47.3333333333,47.3333333333,47.3333333333,46.0,46.0,46.0,46.6666666667,46.6666666667,46.6666666667,48.3333333333,48.3333333333,48.3333333333,50.5,50.5
Croatia,73.0,,,,,67.6666666667,67.6666666667,67.6666666667,67.3333333333,67.3333333333,67.3333333333,72.6666666667,72.6666666667,72.6666666667,82.0,82.0,82.0,73.5,73.5
Czechia,53.0,53.0,,58.0,58.0,60.6666666667,60.6666666667,60.6666666667,68.3333333333,68.3333333333,68.3333333333,72.5,72.5,,77.6666666667,77.6666666667,77.6666666667,75.5,75.5
Denmark,84.0,84.0,81.0,81.0,81.0,79.6666666667,79.6666666667,79.6666666667,82.6666666667,82.6666666667,82.6666666667,85.6666666667,85.6666666667,85.6666666667,86.3333333333,86.3333333333,86.3333333333,87.5,87.5
Estonia,56.0,56.0,60.0,60.0,,60.3333333333,60.3333333333,60.3333333333,67.3333333333,67.3333333333,67.3333333333,72.3333333333,72.3333333333,72.3333333333,78.0,78.0,78.0,84.0,84.0
Finland,79.0,,76.5,,76.5,78.6666666667,78.6666666667,78.6666666667,83.0,83.0,83.0,86.6666666667,86.6666666667,86.6666666667,87.0,87.0,87.0,86.5,86.5
France,69.5,69.5,63.6666666667,63.6666666667,63.6666666667,65.6666666667,65.6666666667,65.6666666667,69.6666666667,69.6666666667,69.6666666667,73.3333333333,73.3333333333,73.3333333333,74.3333333333,74.3333333333,74.3333333333,73.0,73.0
Germany,73.5,73.5,73.0,73.0,73.0,77.3333333333,77.3333333333,77.3333333333,76.0,76.0,76.0,71.3333333333,71.3333333333,71.3333333333,75.3333333333,75.3333333333,75.3333333333,76.0,76.0
Greece,60.5,60.5,,55.5,55.5,51.0,51.0,51.0,62.0,62.0,62.0,56.6666666667,56.6666666667,56.6666666667,66.3333333333,66.3333333333,66.3333333333,64.0,64.0
Hungary,59.0,59.0,56.0,,56.0,54.3333333333,54.3333333333,54.3333333333,50.6666666667,50.6666666667,50.6666666667,64.0,64.0,64.0,73.6666666667,73.6666666667,73.6666666667,73.5,73.5
Iceland,,,77.0,,,,79.0,79.0,,87.0,87.0,85.0,,85.0,85.0,85.0,85.0,87.5,87.5
