Reference area,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Australia,63.0,63.0,63.5,63.5,63.5,65.3333333333,65.3333333333,65.3333333333,63.6666666667,63.6666666667,63.6666666667,63.6666666667,63.6666666667,63.6666666667,67.6666666667,67.6666666667,67.6666666667,67.0,
Austria,75.0,76.16666666665,77.3333333333,77.3333333333,77.3333333333,83.0,83.0,83.0,80.6666666667,80.6666666667,80.6666666667,84.0,84.0,84.0,82.3333333333,82.3333333333,82.3333333333,83.0,
Belgium,68.5,68.5,65.5,65.5,65.5,64.3333333333,64.3333333333,64.3333333333,70.6666666667,70.6666666667,70.6666666667,65.6666666667,65.6666666667,65.6666666667,65.6666666667,65.6666666667,65.6666666667,71.0,
Bulgaria,47.0,49.666666666666664,52.333333333333336,55.0,55.0,56.0,56.0,56.0,56.0,56.0,56.0,57.6666666667,57.6666666667,57.6666666667,65.6666666667,65.6666666667,65.6666666667,,
Canada,77.5,77.5,77.3333333333,77.3333333333,77.3333333333,79.6666666667,79.6666666667,79.6666666667,81.0,81.0,81.0,82.3333333333,82.3333333333,82.3333333333,77.3333333333,77.3333333333,77.3333333333,74.0,
Colombia,54.0,54.0,45.6666666667,45.6666666667,45.6666666667,46.0,46.0,46.0,45.3333333333,45.3333333333,45.3333333333,46.0,46.0,46.0,45.6666666667,45.6666666667,45.6666666667,,
Costa Rica,,,,,,,47.3333333333,47.3333333333,46.0,46.0,46.0,46.6666666667,46.6666666667,46.6666666667,48.3333333333,48.3333333333,,,
Croatia,,,,,,67.6666666667,67.6666666667,67.6666666667,67.3333333333,67.3333333333,67.3333333333,72.6666666667,72.6666666667,72.6666666667,82.0,82.0,82.0,73.5,
Czechia,53.0,53.0,55.5,58.0,58.0,60.6666666667,60.6666666667,60.6666666667,68.3333333333,68.3333333333,68.3333333333,72.5,72.5,75.08333333335,77.6666666667,77.6666666667,77.6666666667,75.5,75.5
Denmark,84.0,84.0,81.0,81.0,81.0,79.6666666667,79.6666666667,79.6666666667,82.6666666667,82.6666666667,82.6666666667,85.6666666667,85.6666666667,85.6666666667,86.3333333333,86.3333333333,86.3333333333,87.5,87.5
Estonia,56.0,56.0,60.0,60.0,60.16666666665,60.3333333333,60.3333333333,60.3333333333,67.3333333333,67.3333333333,67.3333333333,72.3333333333,72.3333333333,72.3333333333,78.0,78.0,78.0,84.0,
Finland,79.0,77.75,76.5,76.5,76.5,78.6666666667,78.6666666667,78.6666666667,83.0,83.0,83.0,86.6666666667,86.6666666667,86.6666666667,87.0,87.0,87.0,86.5,86.5
France,69.5,69.5,63.6666666667,63.6666666667,63.6666666667,65.6666666667,65.6666666667,65.6666666667,69.6666666667,69.6666666667,69.6666666667,73.3333333333,73.3333333333,73.3333333333,74.3333333333,74.3333333333,74.3333333333,73.0,
Germany,73.5,73.5,73.0,73.0,73.0,77.3333333333,77.3333333333,77.3333333333,76.0,76.0,76.0,71.3333333333,71.3333333333,71.3333333333,75.3333333333,75.3333333333,75.3333333333,76.0,76.0
Greece,60.5,60.5,58.0,55.5,55.5,51.0,51.0,51.0,62.0,62.0,62.0,56.6666666667,56.6666666667,56.6666666667,66.3333333333,66.3333333333,66.3333333333,64.0,
Hungary,59.0,59.0,56.0,56.0,56.0,54.3333333333,54.3333333333,54.3333333333,50.6666666667,50.6666666667,50.6666666667,64.0,64.0,64.0,73.6666666667,73.6666666667,73.6666666667,73.5,
Iceland,,,77.0,77.5,78.0,78.5,79.0,79.0,83.0,87.0,87.0,85.0,85.0,85.0,85.0,,,,
Ireland,71.0,68.66666666665,66.3333333333,66.3333333333,66.3333333333,72.0,72.0,72.0,75.6666666667,75.6666666667,75.6666666667,76.6666666667,76.6666666667,76.6666666667,74.0,74.0,74.0,77.0,
Israel,,,,,,,,,,,,,,,,79.6666666667,,,
Italy,60.0,60.0,59.0,59.0,59.0,60.0,60.0,60.0,58.3333333333,58.3333333333,58.3333333333,63.3333333333,63.3333333333,63.3333333333,70.3333333333,70.3333333333,70.3333333333,62.0,62.0
Japan,62.5,62.5,68.6666666667,68.6666666667,68.6666666667,71.6666666667,71.6666666667,71.6666666667,70.3333333333,70.3333333333,70.3333333333,74.3333333333,74.3333333333,74.3333333333,77.0,77.0,77.0,77.5,
Korea,60.5,60.5,59.0,59.0,59.0,59.3333333333,59.3333333333,59.3333333333,64.0,64.0,64.0,72.3333333333,72.3333333333,72.3333333333,81.0,81.0,81.0,,
Latvia,47.0,47.0,48.5,48.5,51.25,54.0,54.0,54.0,61.0,61.0,61.0,60.0,60.0,60.0,74.6666666667,74.6666666667,74.6666666667,74.5,
Lithuania,32.0,32.0,33.3333333333,33.3333333333,33.3333333333,43.3333333333,43.3333333333,43.3333333333,51.3333333333,51.3333333333,51.3333333333,67.0,67.0,67.0,64.6666666667,64.6666666667,64.6666666667,73.0,
Luxembourg,,,75.5,75.5,75.5,69.6666666667,69.6666666667,69.6666666667,72.0,72.0,72.0,83.3333333333,83.3333333333,83.3333333333,85.2222222222,87.1111111111,89.0,87.0,
Mexico,56.5,56.5,49.0,49.0,49.0,50.3333333333,50.3333333333,50.3333333333,46.0,46.0,46.0,41.0,41.0,41.0,45.0,45.0,45.0,48.0,
Netherlands,73.0,73.0,73.0,73.0,73.0,78.6666666667,78.6666666667,78.6666666667,81.3333333333,81.3333333333,81.3333333333,82.6666666667,82.6666666667,82.6666666667,82.6666666667,82.6666666667,82.6666666667,82.5,82.5
New Zealand,60.5,60.5,59.5,59.5,59.5,66.0,66.0,66.0,64.6666666667,64.6666666667,64.6666666667,68.3333333333,68.3333333333,68.3333333333,63.3333333333,63.3333333333,63.3333333333,,
Norway,85.0,83.0,81.0,82.5,84.0,85.5,87.0,87.33333333335,87.6666666667,87.6666666667,87.6666666667,92.6666666667,92.6666666667,92.6666666667,92.3333333333,92.3333333333,92.3333333333,91.5,
Poland,64.0,64.0,61.3333333333,61.3333333333,61.3333333333,65.0,65.0,65.0,66.3333333333,66.3333333333,66.3333333333,70.6666666667,70.6666666667,70.6666666667,70.6666666667,70.6666666667,70.6666666667,67.0,
Portugal,64.0,63.33333333335,62.6666666667,62.6666666667,62.6666666667,63.3333333333,63.3333333333,63.3333333333,72.0,72.0,72.0,79.3333333333,79.3333333333,79.3333333333,82.0,82.0,82.0,80.5,80.5
Romania,,60.5,56.5,52.5,52.5,56.3333333333,56.3333333333,56.3333333333,56.3333333333,56.3333333333,56.3333333333,63.6666666667,63.6666666667,63.6666666667,67.3333333333,67.3333333333,67.3333333333,66.0,
Slovak Republic,47.0,47.5,48.0,48.5,49.0,57.3333333333,57.3333333333,57.3333333333,60.0,60.0,60.0,65.6666666667,65.6666666667,65.6666666667,72.6666666667,72.6666666667,72.6666666667,67.5,67.5
