Reference area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Australia,35102.0,35425.0,36716.0,38144.0,40098.0,39776.0,41406.0,42084.0,41572.0,42081.0,42674.0,42716.0,43069.0,43399.0,43982.0,45273.0,47039.0,48641.0,46375.0,45485.0,
Austria,42817.0,44034.0,45186.0,46205.0,46668.0,46927.0,46352.0,45582.0,46342.0,45159.0,45131.0,45022.0,45586.0,45694.0,46107.0,46162.0,45404.0,47037.0,47149.0,46610.0,
Belgium,40049.0,40200.0,40844.0,41511.0,42108.0,42628.0,42090.0,41759.0,41739.0,41596.0,41720.0,41706.0,42092.0,42538.0,42873.0,43766.0,43700.0,44861.0,44467.0,45273.0,
Bulgaria,9978.0,10360.0,11473.0,11889.0,13619.0,13879.0,13775.0,14586.0,14439.0,15053.0,15112.0,15503.0,16120.0,16763.0,18311.0,18972.0,19275.0,20194.0,20998.0,,
Canada,32337.0,32628.0,34008.0,34839.0,35784.0,36104.0,36923.0,37141.0,37552.0,37974.0,38023.0,38845.0,38402.0,39325.0,39498.0,39882.0,41939.0,42265.0,41670.0,41152.0,41621.0
Costa Rica,,,,,,,,,14167.0,14379.0,14692.0,15204.0,16149.0,17161.0,17462.0,17618.0,17242.0,18061.0,,,
Croatia,17564.0,18159.0,18585.0,19750.0,19533.0,18583.0,18782.0,18696.0,18002.0,17758.0,17969.0,17831.0,18914.0,19342.0,20251.0,21599.0,22004.0,24012.0,24391.0,26112.0,
Czechia,24232.0,25010.0,25982.0,26585.0,27468.0,27178.0,27387.0,27285.0,27164.0,27084.0,27784.0,28306.0,29059.0,30332.0,31543.0,32539.0,33258.0,34805.0,33879.0,34146.0,34691.0
Denmark,32911.0,33390.0,34092.0,33758.0,33621.0,34666.0,35476.0,35823.0,35566.0,35559.0,35778.0,37073.0,38190.0,38670.0,39459.0,39908.0,39499.0,40266.0,40314.0,40742.0,40957.0
Estonia,15284.0,16893.0,19077.0,20558.0,21986.0,20470.0,19742.0,20436.0,20486.0,21705.0,22323.0,23750.0,24439.0,25103.0,27045.0,27813.0,28641.0,29803.0,28918.0,27863.0,
Finland,34605.0,34999.0,35573.0,36563.0,37220.0,37355.0,38283.0,38473.0,38235.0,37938.0,37665.0,38137.0,38638.0,38934.0,39625.0,40482.0,40463.0,41037.0,40146.0,41001.0,41507.0
France,37108.0,37357.0,38133.0,39035.0,39025.0,39585.0,40067.0,40097.0,39996.0,39617.0,39990.0,40237.0,40717.0,41231.0,41372.0,42051.0,41294.0,42918.0,43085.0,43435.0,
Germany,41306.0,41733.0,42288.0,42500.0,42869.0,43020.0,43421.0,43933.0,44117.0,44064.0,44664.0,45527.0,46514.0,47141.0,48001.0,48555.0,48861.0,49278.0,49557.0,48987.0,49850.0
Greece,29950.0,29923.0,31498.0,32456.0,33468.0,33372.0,29703.0,26064.0,22760.0,21643.0,22530.0,22775.0,22945.0,23351.0,23172.0,24983.0,24426.0,26744.0,27033.0,28112.0,
Hungary,19732.0,20671.0,21161.0,20241.0,19914.0,19225.0,19167.0,19903.0,19452.0,19911.0,20506.0,21309.0,22259.0,23544.0,25179.0,26702.0,26490.0,28398.0,29686.0,30549.0,
