Reference area,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Australia,80.8464239144,80.8964268222,81.1855974383,80.6204494212,80.8330500738,80.5510945968,80.0545623236,80.1322215913,80.2220013382,80.0728861988,80.0577271726,79.979501148,80.1975387194,80.6573342446,81.0374823109,81.6531283455,81.032666415,80.4740641886,
Austria,80.5407381449,80.9183867474,80.7264356056,80.6919805343,80.1800346659,79.6906692922,79.8114982411,79.2066632087,79.2580931766,79.2105374973,79.3050425241,79.1502390374,79.3418907548,79.2029613777,78.7387693976,78.9315567186,79.227485712,79.3439751966,
Belgium,81.5416206117,81.9028541332,81.4789201093,81.3574050152,80.1496001068,79.7568918754,79.3608437988,79.3476319554,79.8882666752,79.8464339998,79.9362732432,79.9509800914,80.0845608292,80.4111912624,80.6831223978,80.3704920239,79.6440377201,80.9073223943,
Bulgaria,75.6780967278,75.8114001966,76.4588139842,76.2892996317,75.2195973612,75.4110629403,73.7640831568,75.196283063,76.3502133656,76.1683084474,76.6097430896,76.3022573642,76.8063270914,76.2584904125,77.2799560808,76.7759882571,76.6188506286,,
Canada,77.7195203271,77.5774454087,77.6687075237,77.8921056383,78.0754062982,78.1231757054,78.2007515816,78.1180642742,77.7420968187,77.8039187387,77.2696297596,77.5036088343,77.3838417342,77.2516154287,78.1033457271,77.7299291309,77.3199954341,77.2761326536,
Colombia,81.6600186145,82.220145379,82.3870404629,82.1961132954,81.9794743166,82.388435737,82.3276136382,82.604258016,82.5496689882,82.6861678297,82.5162741748,82.7337615793,82.7129267243,82.6530123425,82.0111703848,82.9262200129,84.5745075491,,
Costa Rica,,,,,,,80.6133316285,81.7810265233,81.6322448482,81.5212297957,82.4595169626,83.0012871678,83.2119595868,83.4534035508,83.0823149114,83.3488329458,,,
Croatia,,,,,,79.17360419,78.5787150701,77.9553760837,78.6737826509,78.0927223961,78.4890291895,78.5997815113,78.8747081911,79.0746139481,79.6678151283,80.1137052001,79.6203604191,80.7715728221,
Czechia,76.4361485154,76.368002075,76.2423458257,75.1666470551,73.1997658908,73.4030125766,73.5505026453,73.3352440555,74.3374432884,73.9788620215,73.7554194109,73.9430278517,73.7688553247,73.9577679239,74.0568951796,74.091281888,74.0344901009,75.5955112758,75.3481990876
Denmark,76.3832430942,76.0095415362,75.7523821635,76.4083225442,75.773163319,75.8494928835,75.5527329039,74.8592048538,75.0167121604,75.4321841832,75.7408315909,75.7502935459,75.67479379,75.7208545076,74.9872697877,74.6363955823,75.2374028438,77.470649427,77.7658283774
