Reference area,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Argentina,89.0135336584,89.0135336584,90.156299608,90.156299608,90.156299608,89.2144180621,89.2144180621,89.2144180621,90.2197378819,90.2197378819,90.2197378819,89.8206332448,89.8206332448,89.8206332448,88.4507335783,88.4507335783,88.4507335783,90.3251426978,90.3251426978
Australia,96.1853591889,96.1853591889,94.7713258923,,94.7713258923,94.4150057251,94.4150057251,94.4150057251,93.5628795368,93.5628795368,93.5628795368,94.095000821,94.095000821,94.095000821,92.9694706655,92.9694706655,92.9694706655,89.3636183725,89.3636183725
Austria,91.6049182182,,91.452772301,91.452772301,91.452772301,93.9589030272,93.9589030272,93.9589030272,91.5153156883,91.5153156883,91.5153156883,92.1018243735,92.1018243735,92.1018243735,88.6930648755,88.6930648755,88.6930648755,89.6883561137,89.6883561137
Belgium,92.2557985583,92.2557985583,92.2556829548,,92.2556829548,92.2251127146,92.2251127146,92.2251127146,91.7445894772,91.7445894772,91.7445894772,90.6998144251,90.6998144251,90.6998144251,90.8298792149,90.8298792149,90.8298792149,90.2144180111,90.2144180111
Brazil,88.0416414841,88.0416414841,89.1901925088,89.1901925088,89.1901925088,90.2138927847,90.2138927847,90.2138927847,90.1466072694,90.1466072694,90.1466072694,88.8960063047,88.8960063047,88.8960063047,83.2240948759,83.2240948759,83.2240948759,85.9872792907,85.9872792907
Bulgaria,80.7402042817,,,81.5910135204,81.5910135204,83.2793867313,83.2793867313,83.2793867313,89.9007832032,89.9007832032,89.9007832032,93.1428503554,93.1428503554,93.1428503554,91.0492372263,91.0492372263,91.0492372263,92.9535528324,92.9535528324
Canada,95.8496554782,,94.2493471019,94.2493471019,94.2493471019,93.4180978701,93.4180978701,93.4180978701,92.570264414,92.570264414,92.570264414,92.3938938717,92.3938938717,92.3938938717,92.7134402267,92.7134402267,92.7134402267,90.0227637785,90.0227637785
Chile,81.7750891009,81.7750891009,82.5281598069,82.5281598069,82.5281598069,84.2315560557,84.2315560557,84.2315560557,83.9004395447,83.9004395447,83.9004395447,87.6780513845,87.6780513845,87.6780513845,88.3515295569,88.3515295569,88.3515295569,88.1859348408,88.1859348408
Colombia,89.7299893171,89.7299893171,88.2866642097,88.2866642097,88.2866642097,90.3359269451,90.3359269451,90.3359269451,88.9432781267,88.9432781267,88.9432781267,87.8805038965,87.8805038965,87.8805038965,81.9314673478,81.9314673478,81.9314673478,84.8937983022,84.8937983022
Costa Rica,91.7738161436,91.7738161436,90.6365252919,90.6365252919,90.6365252919,89.0284994459,89.0284994459,89.0284994459,89.2816733214,89.2816733214,89.2816733214,89.5883836454,89.5883836454,89.5883836454,86.4210321799,86.4210321799,86.4210321799,88.3007786291,88.3007786291
Croatia,89.6055290515,,,80.2151885282,80.2151885282,73.3022240196,73.3022240196,73.3022240196,70.2330754015,70.2330754015,70.2330754015,85.3174122583,85.3174122583,85.3174122583,89.8083636042,89.8083636042,89.8083636042,89.8684810641,89.8684810641
Czechia,87.626950868,87.626950868,,90.2991712142,90.2991712142,88.0513918879,88.0513918879,88.0513918879,88.957207954,88.957207954,88.957207954,90.4900549683,90.4900549683,,94.1591853132,94.1591853132,94.1591853132,92.9841915738,92.9841915738
Denmark,95.9122654345,95.9122654345,95.2001700882,95.2001700882,95.2001700882,95.382531024,95.382531024,95.382531024,95.2793345626,95.2793345626,95.2793345626,95.5102297619,95.5102297619,95.5102297619,95.3014878173,95.3014878173,95.3014878173,93.7617803114,93.7617803114
Estonia,85.4354082154,85.4354082154,86.2222084752,86.2222084752,,87.7182627287,87.7182627287,87.7182627287,90.4767209722,90.4767209722,90.4767209722,91.8760315835,91.8760315835,91.8760315835,93.4887706102,93.4887706102,93.4887706102,93.3480595985,93.3480595985
Finland,95.5803743612,,93.8486890095,,93.8486890095,92.7486076417,92.7486076417,92.7486076417,94.6267995812,94.6267995812,94.6267995812,95.1069675182,95.1069675182,95.1069675182,96.7351259488,96.7351259488,96.7351259488,95.4165484539,95.4165484539
France,93.7061317943,93.7061317943,92.7246585146,92.7246585146,92.7246585146,91.985027576,91.985027576,91.985027576,88.3784517666,88.3784517666,88.3784517666,93.1064163906,93.1064163906,93.1064163906,90.77776803,90.77776803,90.77776803,87.1300047697,87.1300047697
Germany,94.0525500406,94.0525500406,92.5068984479,92.5068984479,92.5068984479,93.1468322202,93.1468322202,93.1468322202,91.9690294399,91.9690294399,91.9690294399,89.0081126555,89.0081126555,89.0081126555,89.4213436483,89.4213436483,89.4213436483,89.71993174,89.71993174
Greece,81.4500718594,81.4500718594,,82.5598357005,82.5598357005,78.0013698994,78.0013698994,78.0013698994,82.2602538988,82.2602538988,82.2602538988,80.9771264191,80.9771264191,80.9771264191,83.3448182558,83.3448182558,83.3448182558,81.1864005228,81.1864005228
Hungary,92.4945096757,92.4945096757,89.1585489002,,89.1585489002,88.7436623394,88.7436623394,88.7436623394,84.2019377351,84.2019377351,84.2019377351,91.5134375342,91.5134375342,91.5134375342,93.9115703893,93.9115703893,93.9115703893,94.8834002505,94.8834002505
Iceland,,,97.6250974811,,,,96.6441917674,96.6441917674,,98.2611621065,98.2611621065,97.0228081729,,97.0228081729,97.9361329882,97.9361329882,97.9361329882,98.0802557473,98.0802557473
Indonesia,72.4160336706,72.4160336706,75.3496721993,75.3496721993,75.3496721993,81.2757822527,81.2757822527,81.2757822527,82.8662094707,82.8662094707,82.8662094707,79.8591640404,79.8591640404,79.8591640404,79.8919508364,79.8919508364,79.8919508364,79.6497801717,79.6497801717
Ireland,96.4427860781,,97.0962283029,97.0962283029,97.0962283029,96.2824858586,96.2824858586,96.2824858586,95.7491851696,95.7491851696,95.7491851696,93.9984541606,93.9984541606,93.9984541606,90.506765089,90.506765089,90.506765089,92.0628915,92.0628915
Israel,88.2924072639,88.2924072639,88.0698377467,88.0698377467,88.0698377467,89.5113687872,89.5113687872,89.5113687872,86.5544570827,86.5544570827,86.5544570827,91.1989675537,91.1989675537,91.1989675537,93.3354662083,93.3354662083,93.3354662083,92.8676022961,92.8676022961
Italy,90.7056120903,90.7056120903,86.3715472108,86.3715472108,86.3715472108,89.2446433188,89.2446433188,89.2446433188,90.8181022992,90.8181022992,90.8181022992,88.5239301508,88.5239301508,88.5239301508,88.1114865579,88.1114865579,88.1114865579,85.9452943752,85.9452943752
Japan,93.0322244008,93.0322244008,88.7948377336,88.7948377336,88.7948377336,90.8085738508,90.8085738508,90.8085738508,89.6587216049,89.6587216049,89.6587216049,87.6699310489,87.6699310489,87.6699310489,89.0437500949,89.0437500949,89.0437500949,85.9042592629,85.9042592629
Korea,78.1062597335,78.1062597335,77.7654604368,77.7654604368,77.7654604368,78.1775241036,78.1775241036,78.1775241036,75.9354736044,75.9354736044,75.9354736044,78.8015648727,78.8015648727,78.8015648727,80.2707556331,80.2707556331,80.2707556331,79.0464040614,79.0464040614
Latvia,82.4862754,82.4862754,80.0195591047,80.0195591047,,81.2806697292,81.2806697292,81.2806697292,85.848933225,85.848933225,85.848933225,88.054046084,88.054046084,88.054046084,92.9118950524,92.9118950524,92.9118950524,91.9698688846,91.9698688846
Lithuania,86.7184768881,86.7184768881,81.5170947156,81.5170947156,81.5170947156,83.9769008678,83.9769008678,83.9769008678,85.1337843953,85.1337843953,85.1337843953,87.7508842128,87.7508842128,87.7508842128,85.6874553675,85.6874553675,85.6874553675,87.988591373,87.988591373
Luxembourg,,,94.2758165977,,94.2758165977,90.6529759285,90.6529759285,90.6529759285,91.632275889,91.632275889,91.632275889,90.0916002532,90.0916002532,90.0916002532,,,87.5474810312,87.7451684737,
Mexico,87.8093340468,87.8093340468,86.8046695714,86.8046695714,86.8046695714,76.2913565445,76.2913565445,76.2913565445,80.0744137604,80.0744137604,80.0744137604,83.3557207193,83.3557207193,83.3557207193,79.7800923281,79.7800923281,79.7800923281,85.652847825,85.652847825
Netherlands,93.9347651207,93.9347651207,94.3153205423,,94.3153205423,92.979458392,92.979458392,92.979458392,90.068791606,90.068791606,90.068791606,93.6986763377,93.6986763377,93.6986763377,92.8621148364,92.8621148364,92.8621148364,90.9823160781,90.9823160781
