Reference area,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Australia,0.7962343007100153,0.8047302873665172,0.8050995331262912,0.8085576335576588,0.8134034383023444,0.8204604266331167,0.823740026547872,0.8236217287985954,0.8222204475990718,0.8229361059930652,0.8241743052620063,0.8279902376942475,0.832834672249936,0.8244574375477745,0.824257711575507,0.8387398010645951,0.8399582997528569,0.854849489801063,
Austria,0.8049815262039381,0.7993501426153794,0.7982808974848258,0.7927450933686867,0.8001996225057559,0.8153187699675422,0.8191637974384357,0.8165410143524338,0.8133078994108294,0.8130805754009746,0.8176569329929616,0.8241709861790029,0.8245774059127062,0.8293624909725154,0.8188703482655015,0.8156950641658758,0.8136449701439469,0.8386005594709776,
Belgium,0.7589814250993391,0.7672864999250613,0.7594075128623258,0.7645170157619275,0.7686716021556227,0.7767920210437779,0.7760944560558953,0.7735286595839116,0.7797766570615278,0.7745032261833195,0.7774712338318648,0.777877034508534,0.7820090945986525,0.7866219427628067,0.7777097129410935,0.7892836870408649,0.7898527194574675,0.8207029934168453,
Bulgaria,0.5249835421692115,0.5459372823486177,0.5684696937492346,0.576045981941213,0.5639645078500048,0.5652586701237139,0.5666769123402584,0.5486710544132306,0.5739572733957534,0.5868760855428541,0.600314079158315,0.629244464667789,0.6252767800518578,0.648328748448859,0.642052739178393,0.6424932494153484,0.6633746152026274,,
Canada,0.8156420902769663,0.8172466915512024,0.8181497652420832,0.8191716883944025,0.820378528163766,0.8228230607358971,0.8267448379789281,0.8285753160612367,0.8315726463375321,0.8345804966389041,0.8362134363368144,0.8356704087398061,0.8210079130335353,0.8247686251299862,0.8162347890302746,0.8148083773384169,0.8213690673392782,0.8360638584601889,
Colombia,0.5504382224960186,0.5609847027292642,0.5641699462613967,0.5721433289770376,0.5785379663368201,0.5852841677972636,0.5897640707131705,0.5971580295932204,0.5998868396563766,0.6061152787031078,0.609957747893374,0.6078529439359857,0.6407879714404623,0.6388688678258038,0.6297790972584755,0.6178778286558494,0.6210392103675804,,
Costa Rica,,,,,,,0.6679743766928984,0.665618351385892,0.6639734154015473,0.6679663793986709,0.6656863054433919,0.6702916865216842,0.6723472065890321,0.67602190784215,0.6692370857497487,0.661692089294087,,,
Croatia,,,,,,0.5595562643918381,0.5539604970060981,0.5584803938685391,0.540103706544915,0.5554052345494448,0.5793488015872272,0.6528804963085532,0.6619006431388756,0.688891322633657,0.7017519779844704,0.7054768245677634,0.7217357567118017,0.7337639402722415,
Czechia,0.6672394898758416,0.682609785409014,0.6908111587237624,0.7011012777290156,0.7080237285504074,0.7092592806862109,0.7051169826470658,0.7024821498465273,0.7172765359437107,0.728436502845858,0.7467465054428641,0.7615485896281777,0.7744665969278532,0.7874906939169406,0.7864624116864961,0.7804670911982691,0.791016028719427,0.80530091088387,0.8187157665654407
Denmark,0.8183118028927066,0.8245906336139115,0.8247829180623885,0.8209019964901778,0.823433077833728,0.8243234168435093,0.8235420877361919,0.8256585008921576,0.8343223235576233,0.839654441732898,0.8444073914984601,0.8500970929340973,0.8443290525680953,0.8472491949642633,0.849697898605992,0.8503836099712861,0.8454629208922783,0.8536620371556565,0.8551009464332499
