,Reference area,TIME_PERIOD,Adult literacy skills [Points],Average annual gross earnings [ PPP converted],Difficulty making ends meet [Percentage of population aged 16 years or over],Employment rate [Percentage of population aged 25-64 years],Feeling lonely [Percentage of population aged 16 years or over],Feeling safe at night [Percentage of population aged 15 years or over],Having a say in government [Percentage of population aged 16-65 years],Households and NPISHs net adjusted disposable income per capita [ PPP converted],Housing affordability [Percentage of household gross adjusted disposable income],Life expectancy at birth [Years],Life satisfaction [0-10 scale],Long-term unemployment rate [Percentage of labour force],Self-reported depression [Percentage of population aged 15 years or over],Social support [Percentage of population aged 15 years or over],Student reading skills [Points]
0,Argentina,2004,,,,,,,,,,74.9,,,,,
1,Argentina,2005,,,,,,,,,,75.2,,,,,
2,Argentina,2006,,,,,,41.5,,,,75.3,,,,89.0135336584,
3,Argentina,2007,,,,,,41.5,,,,74.8,,,,89.0135336584,
4,Argentina,2008,,,,,,39.3333333333,,,,75.4,,,,90.156299608,
5,Argentina,2009,,,,,,39.3333333333,,,,75.6,,,,90.156299608,
6,Argentina,2010,,,,,,39.3333333333,,,,75.7,,,,90.156299608,
7,Argentina,2011,,,,,,46.3333333333,,,,76.1,,,,89.2144180621,
8,Argentina,2012,,,,,,46.3333333333,,,,75.8,,,,89.2144180621,
9,Argentina,2013,,,,,,46.3333333333,,,,75.8,,,,89.2144180621,
10,Argentina,2014,,,,,,41.3333333333,,,,76.3,,,,90.2197378819,
11,Argentina,2015,,,,,,41.3333333333,,,,76.6,,,,90.2197378819,
12,Argentina,2016,,,,72.432,,41.3333333333,,,,76.1,,2.3312,,90.2197378819,
13,Argentina,2017,,,,73.548,,41.0,,,,76.5,,2.702394822,,89.8206332448,
14,Argentina,2018,,,,72.632,,41.0,,,,76.8,,3.1059354291,,89.8206332448,
15,Argentina,2019,,,,73.067,,41.0,,,,76.8,,3.4088137584,,89.8206332448,
16,Argentina,2020,,,,70.181,,49.3333333333,,,,75.9,,3.0156135402,,88.4507335783,
17,Argentina,2021,,,,75.428,,49.3333333333,,,,73.9,,3.2744483122,,88.4507335783,
18,Argentina,2022,,,,76.746,,49.3333333333,,,,75.8,,2.3156422018,,88.4507335783,
19,Argentina,2023,,,,77.853,,44.5,,,,77.4,,1.8986889429,,90.3251426978,
20,Argentina,2024,,,,,,44.5,,,,,,,,90.3251426978,
21,Australia,2004,,61629.11,,72.397,,,,35102.0,80.7427856471,80.5,,0.9680599867,,,
22,Australia,2005,,62347.376,,73.679,,,,35425.0,80.7732374077,80.8,,0.9056612352,,,
23,Australia,2006,,62769.154,,74.309,,63.0,,36716.0,80.8464239144,81.0,,0.8819578978,,96.1853591889,512.8932915909
24,Australia,2007,,64500.872,,75.057,,63.0,,38144.0,80.8964268222,81.3,,0.8244756756,,96.1853591889,
25,Australia,2008,,64995.647,,75.475,,63.5,,40098.0,81.1855974383,81.4,,0.807027429,,94.7713258923,
26,Australia,2009,,64406.029,,74.893,,,,39776.0,80.6204494212,81.5,,0.8357393204,,,514.9006552821
27,Australia,2010,,66705.582,,75.444,,63.5,,41406.0,80.8330500738,81.7,,0.9892823526,,94.7713258923,
28,Australia,2011,,68914.944,,75.798,,65.3333333333,,42084.0,80.5510945968,81.9,,0.98445803,,94.4150057251,
29,Australia,2012,280.40107,69392.868,,75.589,,65.3333333333,,41572.0,80.0545623236,82.0,,1.013312533,,94.4150057251,511.8039976357
30,Australia,2013,,69189.387,,75.336,,65.3333333333,,42081.0,80.1322215913,82.1,,1.1106509409,,94.4150057251,
