,Year,IPC_index,IPC_percent_change
0,1983,63.8,
1,1984,65.7,2.9
2,1985,68,3.4
3,1986,68.5,0.8
4,1987,69.5,1.4
5,1988,70.8,1.9
6,1989,73,3.2
7,1990,76.9,5.4
8,1991,81.4,5.9
9,1992,84.7,4
10,1993,87.5,3.3
11,1994,88.3,0.9
12,1995,89.9,1.8
13,1996,90.6,0.8
14,1997,91.1,0.5
15,1998,91.1,0
16,1999,91.8,0.8
17,2000,93.2,1.6
18,2001,94.2,1
19,2002,94.8,0.6
20,2003,95.4,0.6
21,2004,96.1,0.8
22,2005,97.3,1.2
23,2006,98.3,1.1
24,2007,99,0.7
25,2008,101.4,2.4
26,2009,100.9,-0.5
27,2010,101.6,0.7
28,2011,101.9,0.2
29,2012,101.1,-0.7
30,2013,100.9,-0.2
31,2014,100.9,0
32,2015,99.8,-1.1
33,2016,99.3,-0.4
34,2017,99.9,0.5
35,2018,100.8,0.9
36,2019,101.2,0.4
37,2020,100.4,-0.7
38,2021.0,101.0,0.6
39,2022.0,103.9,2.8
40,2023.0,106.1,2.1
41,2024.0,107.2,1.1
