TIME,Switzerland_unemp,EU_unemp
2000-02,3.4,9.7
2000-05,2.9,9.6
2000-08,3.3,9.4
2000-11,3.0,9.3
2001-02,2.9,9.2
2001-05,2.7,9.3
2001-08,2.8,9.3
2001-11,2.6,9.4
2002-02,3.2,9.5
2002-05,3.1,9.6
2002-08,3.8,9.7
2002-11,3.9,9.8
2003-02,4.7,9.8
2003-05,4.4,9.8
2003-08,5.0,9.9
2003-11,4.9,9.9
2004-02,5.3,10
2004-05,4.6,10
2004-08,5.3,9.9
2004-11,5.0,10
2005-02,5.4,9.8
2005-05,4.8,9.8
2005-08,5.2,9.6
2005-11,4.8,9.5
2006-02,5.0,9.2
2006-05,4.3,8.9
2006-08,4.7,8.6
2006-11,4.3,8.3
2007-02,4.6,7.9
2007-05,3.9,7.6
2007-08,4.3,7.5
2007-11,3.9,7.3
2008-02,4.1,7.1
2008-05,3.6,7.2
2008-08,4.0,7.3
2008-11,3.8,7.7
2009-02,4.5,8.7
2009-05,4.4,9.2
2009-08,5.2,9.6
2009-11,4.9,9.8
2010-02,5.4,10.1
2010-05,4.6,10.1
2010-08,4.9,10.0
2010-11,4.3,10.0
2011-02,4.7,9.9
2011-05,3.9,9.9
2011-08,4.6,10.1
2011-11,4.4,10.4
2012-02,4.6,10.7
2012-05,4.1,11.0
2012-08,4.7,11.2
2012-11,4.7,11.5
2013-02,5.1,11.7
2013-05,4.5,11.7
2013-08,4.9,11.5
2013-11,4.4,11.5
2014-02,5.3,11.4
2014-05,4.7,11.1
2014-08,5.1,10.8
2014-11,4.3,10.9
2015-02,4.7,10.6
2015-05,4.4,10.3
2015-08,5.2,10.0
2015-11,4.9,9.8
2016-02,5.3,9.6
2016-05,4.6,9.4
2016-08,5.1,9.1
2016-11,4.6,9.0
2017-02,5.3,8.6
2017-05,4.4,8.4
2017-08,5.0,8.2
2017-11,4.5,7.9
2018-02,5.2,7.7
2018-05,4.6,7.4
2018-08,4.4,7.2
2018-11,4.6,7.1
2019-02,4.9,7.0
2019-05,4.2,6.8
2019-08,4.6,6.7
2019-11,3.9,6.7
2020-02,4.5,6.6
2020-05,4.6,7.0
2020-08,5.3,7.8
2020-11,4.9,7.4
2021-02,5.8,7.5
2021-05,5.0,7.3
2021-08,5.0,6.9
2021-11,4.3,6.5
2022-02,4.5,6.3
2022-05,4.0,6.2
2022-08,4.0,6.2
2022-11,4.0,6.2
2023-02,4.2,6.1
2023-05,3.7,6.0
2023-08,4.3,6.1
2023-11,4.0,6.1
2024-02,4.3,6.1
2024-05,4.0,6.0
2024-08,4.7,5.9
2024-11,4.4,5.8
2025-02,4.7,5.9
2025-05,4.6,6.0
2025-08,5.1,6.0
