Reference area,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Australia,0.8220202958858874,0.8310310165682228,0.8343770083199158,0.8320174288036027,0.8390517620683771,0.8432062776397142,0.8413745336909721,0.8420556668001247,0.8415785856640254,0.8407592406073575,0.841841391619768,0.84485205895166,0.8519409901145981,0.8454361893085068,0.8486801456100517,0.8728300776862338,0.8676614904746078,0.8789976728483326,
Austria,0.8276207670469596,0.8258769290846026,0.8228317231883818,0.8169412357479936,0.8191257522109113,0.8292073324592929,0.8342961830205017,0.8243784388927369,0.8227434879604875,0.8220266218952936,0.827575821968779,0.8324963153914383,0.8336398286700678,0.8371663813956536,0.8224692200781947,0.82104035622583,0.8216710214112213,0.8484715434732925,
Belgium,0.7919238319818812,0.8039474742463504,0.7917044756408724,0.7955630922153064,0.7872844360182109,0.7913622842275759,0.7865877679210348,0.7826430906835201,0.7956993031880263,0.7899952433250765,0.7938880634988872,0.7944452576747422,0.7977992111080687,0.8053709364377607,0.7989220742185428,0.8076639947784044,0.8016522287364495,0.845967496046432,
Bulgaria,0.48879285409964385,0.5115579468804679,0.5428875385714365,0.5481604338649211,0.5215436441674887,0.5254394767346019,0.5044782479427754,0.5115078694126656,0.5468994325903606,0.5573464865022228,0.5767827770465093,0.6015349886973744,0.6071375785490334,0.6237164097180995,0.629509850521343,0.6239955698380842,0.6430202263685185,,
Canada,0.8092394839754555,0.8093815544102748,0.8112240877831389,0.8151008092909361,0.817968131617582,0.8208453973150088,0.8254699182872018,0.826551349248124,0.8261428685344094,0.8297107507520531,0.8265036777035407,0.8280802178839772,0.8123327769256772,0.8148956784195018,0.8140774899599763,0.8092683749820089,0.8121155608768293,0.8255738038200539,
Colombia,0.5914316692336841,0.6088973383818169,0.6141442198995953,0.6197590987467483,0.6234776168498773,0.6352756771144151,0.6390042508340236,0.6498155695575158,0.6518700469160646,0.6597846422596564,0.661528432421894,0.6621102282374824,0.6883078952836362,0.6857374893596667,0.6696705434180161,0.6677163679508098,0.6710392103675804,,
Costa Rica,,,,,,,0.6913609007981687,0.7010252223187875,0.6978487155925811,0.7006988815522381,0.7080776124956307,0.7176401713701691,0.719695691437517,0.7233703926906349,0.7165855705982335,0.7090405741425718,,,
Croatia,,,,,,0.5708631890395368,0.5571839564252767,0.5539181434813522,0.54461896212921,0.5520249341246801,0.5813535923956216,0.6563902104922457,0.6682010514936988,0.6975537805692302,0.7174235917343601,0.726416993225533,0.7368466543640029,0.7624773515021802,
Czechia,0.647625749095513,0.6622945395931458,0.6692023971921272,0.6684191850025251,0.6606752437019225,0.661910795837726,0.6577684977985809,0.6608154831798607,0.6760585517691253,0.6835272537584759,0.6995371198322834,0.7162704606637024,0.7330440507394104,0.7477794676767923,0.7476491586403937,0.7419653401922123,0.7519998127249305,0.778262595868422,0.7892422888545855
Denmark,0.7981534493760222,0.8005853656701899,0.7981304304865573,0.801001812884648,0.7969945131736356,0.7986705949682638,0.7948343943399382,0.7941132043295436,0.8000967887523129,0.8097058099383577,0.8176360013828234,0.8234231049577301,0.8201720065617603,0.8235094034194912,0.8193127156461139,0.8168199305554497,0.8173436412678291,0.8450872944686529,0.8494326871416469
