"PERIOD","gross values","seasonally adjusted"
"15.02.1991","1.785476892","1.696201633"
"15.05.1991","1.912657486","2.045045823"
"15.08.1991","2.237771416","2.150623825"
"15.11.1991","2.280102557","2.347840024"
"15.02.1992","2.945353752","2.795946224"
"15.05.1992","3.025069015","3.234317308"
"15.08.1992","3.677370621","3.53806578"
"15.11.1992","3.728997453","3.837790906"
"15.02.1993","4.270869423","4.051250869"
"15.05.1993","3.99984217","4.279330354"
"15.08.1993","4.830780011","4.648074678"
"15.11.1993","4.61935808","4.753261874"
"15.02.1994","4.868807983","4.617735619"
"15.05.1994","4.174356964","4.467989554"
"15.08.1994","4.579158845","4.406153525"
"15.11.1994","4.137773048","4.254689962"
"15.02.1995","4.288154461","4.067490057"
"15.05.1995","3.580247669","3.835632368"
"15.08.1995","3.777727475","3.634981503"
"15.11.1995","3.667817004","3.765793475"
"15.02.1996","4.104809316","3.896369492"
"15.05.1996","3.964309542","4.249594985"
"15.08.1996","4.404791461","4.238046228"
"15.11.1996","4.304800583","4.418219232"
"15.02.1997","5.121149252","4.859474715"
"15.05.1997","4.441557122","4.762420193"
"15.08.1997","4.969862638","4.782788949"
"15.11.1997","4.488390165","4.609295986"
"15.02.1998","4.641627739","4.402182003"
"15.05.1998","3.840003413","4.112040574"
"15.08.1998","4.088975072","3.939127469"
"15.11.1998","3.626995454","3.728943639"
"15.02.1999","3.706141075","3.511839304"
"15.05.1999","3.285141841","3.514978328"
"15.08.1999","3.510485154","3.383065707"
"15.11.1999","3.237469219","3.330820147"
"15.02.2000","3.386609721","3.208088184"
"15.05.2000","2.859977629","3.060263557"
"15.08.2000","3.28940598","3.169022562"
"15.11.2000","3.012760675","3.098412842"
"15.02.2001","2.931703841","2.778997282"
"15.05.2001","2.67951156","2.868649702"
"15.08.2001","2.842882545","2.736721734"
"15.11.2001","2.636176699","2.710209519"
"15.02.2002","3.238675113","3.071701356"
"15.05.2002","3.146537196","3.368495758"
"15.08.2002","3.786392896","3.645573774"
"15.11.2002","3.880382528","3.988446435"
"15.02.2003","4.696831661","4.454095145"
"15.05.2003","4.430278812","4.742570389"
"15.08.2003","5.017627232","4.830608994"
"15.11.2003","4.88618305","5.027668837"
"15.02.2004","5.269730881","4.994900221"
"15.05.2004","4.644507506","4.966523874"
"15.08.2004","5.321687253","5.124043288"
"15.11.2004","4.992122631","5.146487549"
"15.02.2005","5.382881706","5.096813541"
"15.05.2005","4.774756102","5.102555326"
"15.08.2005","5.23872405","5.042784635"
"15.11.2005","4.848354037","5.005909551"
"15.02.2006","5.006648352","4.738640031"
"15.05.2006","4.299333418","4.592509122"
"15.08.2006","4.687336031","4.51062535"
"15.11.2006","4.343104309","4.486653795"
"15.02.2007","4.604836534","4.357342463"
"15.05.2007","3.918529248","4.188974364"
"15.08.2007","4.257268678","4.093025279"
"15.11.2007","3.862582273","3.991108222"
