Reference area,crisis_08_10,covid,ukrain_war
Australia,0.008020745500154303,0.027393888377726938,-0.005168587211625941
Austria,-0.006751176873691311,-0.016126025169823532,0.0006306651853912326
Belgium,-0.016663038228139526,0.00229305834064375,-0.006011766041954969
Bulgaria,0.009985697287020812,0.0002791601199847449,0.01902465653043428
Canada,0.008586577207307156,-0.005627303437492959,0.00284718589482047
Colombia,0.014580278468060426,-0.01802112140885692,0.0033228424167706105
Costa Rica,,-0.014329818548063034,
Croatia,,0.02886321265630276,0.010429661138469881
Czechia,-0.001619295891223227,-0.0058141274845799895,0.010034472532718275
Denmark,-0.003590852496554331,-0.006689472864041535,0.0005237107123794438
Estonia,-0.027259067219155497,-0.0011274857356706747,-0.01314833605308341
Finland,-0.0015998983245085752,-0.004647416345172628,-0.010812845335257615
France,-0.007492169540692983,-0.008111396122009062,-0.004882855112351758
Germany,0.004803227949326527,-0.009180166984426474,-0.010602241159891834
Greece,-0.02708819862354428,-0.004048897147138741,0.007871071041734568
Hungary,-0.05442058033767294,-0.0017246850481710263,0.024058293009274645
Iceland,,,
Ireland,-0.035928082692068486,-0.007284095819902969,-0.005441213918226273
Israel,,,
Italy,-0.020371424203135424,-0.0022545938274722843,0.004572167615702671
Japan,-0.002524500338463631,0.006319528489436288,-0.005426243739371062
Korea,0.01528272641851236,0.01651107373520322,-0.010068499726138547
Latvia,-0.06981258142885016,0.009026679247026048,2.8133721780787546e-05
Lithuania,-0.06789893243701473,0.009020830736581553,0.005620377172296354
Luxembourg,0.0404055703051186,9.174004333889485e-05,0.01109208461157507
Mexico,-0.014194858184536918,-0.02964143371990724,0.019740059924384212
Netherlands,0.007774424692691073,0.0012080441217313664,-0.0027187038193946522
New Zealand,0.005694929368478041,0.0072643193169332765,-0.009478973961031256
Norway,0.010573224981888618,-0.008169370657842512,-0.00439824481519191
Poland,0.040078683420579075,-0.007362133681970695,0.005520588848826002
Portugal,-0.025958073865578024,0.007994169617967173,-0.0013652266089458909
Romania,0.0011813529769696407,-0.013026233104668994,0.014135231552038774
Slovak Republic,0.0006814218767162705,-0.00834050383663587,0.011073831278634594
Slovenia,-0.023195065299929762,0.014848359477389717,-0.004218911829540151
Spain,-0.038555289304790685,-0.005281752379466598,-0.021339256142518415
Sweden,-0.003477932797098182,-0.005095270347128977,-0.0004517517132263116
Switzerland,-0.003670912261614312,-0.0030420429123225734,0.00275267530563994
Türkiye,0.003764512070722592,-0.03631538344134866,-0.006646854311479489
United Kingdom,-0.007491871906220693,-0.018612849938428377,-0.0016461489611729885
United States,-0.024255897560071293,-0.03799201236663785,0.015571393210849993
