Reference area,TIME_PERIOD,Metric,Value,Domain
Australia,2006,life_exp_norm,0.84,Health
Australia,2007,life_exp_norm,0.8519999999999999,Health
Australia,2008,life_exp_norm,0.8560000000000002,Health
Australia,2009,life_exp_norm,0.86,Health
Australia,2010,life_exp_norm,0.8680000000000001,Health
Australia,2011,life_exp_norm,0.8760000000000002,Health
Australia,2012,life_exp_norm,0.88,Health
Australia,2013,life_exp_norm,0.8839999999999998,Health
Australia,2014,life_exp_norm,0.8919999999999999,Health
Australia,2015,life_exp_norm,0.8960000000000002,Health
Australia,2016,life_exp_norm,0.8960000000000002,Health
Australia,2017,life_exp_norm,0.9,Health
Australia,2018,life_exp_norm,0.912,Health
Australia,2019,life_exp_norm,0.9160000000000004,Health
Australia,2020,life_exp_norm,0.9280000000000002,Health
Australia,2021,life_exp_norm,0.932,Health
Australia,2022,life_exp_norm,0.9280000000000002,Health
Australia,2023,life_exp_norm,0.92,Health
Austria,2006,life_exp_norm,0.8039999999999998,Health
Austria,2007,life_exp_norm,0.8119999999999998,Health
Austria,2008,life_exp_norm,0.8239999999999997,Health
Austria,2009,life_exp_norm,0.82,Health
Austria,2010,life_exp_norm,0.8280000000000001,Health
Austria,2011,life_exp_norm,0.8439999999999998,Health
Austria,2012,life_exp_norm,0.8439999999999998,Health
Austria,2013,life_exp_norm,0.8519999999999999,Health
Austria,2014,life_exp_norm,0.8639999999999998,Health
Austria,2015,life_exp_norm,0.8519999999999999,Health
Austria,2016,life_exp_norm,0.8719999999999999,Health
Austria,2017,life_exp_norm,0.8680000000000001,Health
Austria,2018,life_exp_norm,0.8719999999999999,Health
Austria,2019,life_exp_norm,0.88,Health
Austria,2020,life_exp_norm,0.8519999999999999,Health
Austria,2021,life_exp_norm,0.8519999999999999,Health
Austria,2022,life_exp_norm,0.8560000000000002,Health
Austria,2023,life_exp_norm,0.8760000000000002,Health
Belgium,2006,life_exp_norm,0.78,Health
Belgium,2007,life_exp_norm,0.7960000000000003,Health
Belgium,2008,life_exp_norm,0.7919999999999999,Health
Belgium,2009,life_exp_norm,0.8080000000000002,Health
Belgium,2010,life_exp_norm,0.8119999999999998,Health
Belgium,2011,life_exp_norm,0.8280000000000001,Health
Belgium,2012,life_exp_norm,0.82,Health
Belgium,2013,life_exp_norm,0.8280000000000001,Health
Belgium,2014,life_exp_norm,0.8560000000000002,Health
Belgium,2015,life_exp_norm,0.8439999999999998,Health
Belgium,2016,life_exp_norm,0.86,Health
Belgium,2017,life_exp_norm,0.8639999999999998,Health
Belgium,2018,life_exp_norm,0.8680000000000001,Health
Belgium,2019,life_exp_norm,0.8839999999999998,Health
Belgium,2020,life_exp_norm,0.8319999999999999,Health
Belgium,2021,life_exp_norm,0.8760000000000002,Health
Belgium,2022,life_exp_norm,0.8719999999999999,Health
Belgium,2023,life_exp_norm,0.9,Health
Bulgaria,2006,life_exp_norm,0.5080000000000001,Health
Bulgaria,2007,life_exp_norm,0.52,Health
Bulgaria,2008,life_exp_norm,0.5319999999999999,Health
Bulgaria,2009,life_exp_norm,0.5480000000000002,Health
Bulgaria,2010,life_exp_norm,0.5519999999999999,Health
Bulgaria,2011,life_exp_norm,0.5680000000000001,Health
Bulgaria,2012,life_exp_norm,0.5760000000000002,Health
Bulgaria,2013,life_exp_norm,0.5960000000000002,Health
Bulgaria,2014,life_exp_norm,0.58,Health
Bulgaria,2015,life_exp_norm,0.5880000000000001,Health
Bulgaria,2016,life_exp_norm,0.5960000000000002,Health
Bulgaria,2017,life_exp_norm,0.5919999999999999,Health
Bulgaria,2018,life_exp_norm,0.6,Health
Bulgaria,2019,life_exp_norm,0.6039999999999998,Health
Bulgaria,2020,life_exp_norm,0.5319999999999999,Health
Bulgaria,2021,life_exp_norm,0.4480000000000001,Health
Bulgaria,2022,life_exp_norm,0.5680000000000001,Health
Canada,2006,life_exp_norm,0.8280000000000001,Health
Canada,2007,life_exp_norm,0.8280000000000001,Health
Canada,2008,life_exp_norm,0.8319999999999999,Health
Canada,2009,life_exp_norm,0.8480000000000001,Health
Canada,2010,life_exp_norm,0.8560000000000002,Health
Canada,2011,life_exp_norm,0.8639999999999998,Health
Canada,2012,life_exp_norm,0.8719999999999999,Health
Canada,2013,life_exp_norm,0.8719999999999999,Health
Canada,2014,life_exp_norm,0.8760000000000002,Health
Canada,2015,life_exp_norm,0.8760000000000002,Health
Canada,2016,life_exp_norm,0.88,Health
Canada,2017,life_exp_norm,0.8760000000000002,Health
Canada,2018,life_exp_norm,0.8760000000000002,Health
Canada,2019,life_exp_norm,0.8880000000000001,Health
Canada,2020,life_exp_norm,0.8639999999999998,Health
Canada,2021,life_exp_norm,0.8639999999999998,Health
Canada,2022,life_exp_norm,0.8519999999999999,Health
Canada,2023,life_exp_norm,0.8680000000000001,Health
Colombia,2006,life_exp_norm,0.5319999999999999,Health
Colombia,2007,life_exp_norm,0.54,Health
Colombia,2008,life_exp_norm,0.5519999999999999,Health
Colombia,2009,life_exp_norm,0.56,Health
Colombia,2010,life_exp_norm,0.5719999999999998,Health
Colombia,2011,life_exp_norm,0.58,Health
Colombia,2012,life_exp_norm,0.5880000000000001,Health
Colombia,2013,life_exp_norm,0.6,Health
Colombia,2014,life_exp_norm,0.6080000000000001,Health
Colombia,2015,life_exp_norm,0.6160000000000002,Health
Colombia,2016,life_exp_norm,0.6280000000000001,Health
Colombia,2017,life_exp_norm,0.6360000000000002,Health
Colombia,2018,life_exp_norm,0.66,Health
Colombia,2019,life_exp_norm,0.6639999999999998,Health
Colombia,2020,life_exp_norm,0.6680000000000001,Health
Colombia,2021,life_exp_norm,0.6719999999999999,Health
Colombia,2022,life_exp_norm,0.6760000000000003,Health
Costa Rica,2012,life_exp_norm,0.7760000000000002,Health
Costa Rica,2013,life_exp_norm,0.7839999999999998,Health
Costa Rica,2014,life_exp_norm,0.7880000000000001,Health
Costa Rica,2015,life_exp_norm,0.7960000000000003,Health
Costa Rica,2016,life_exp_norm,0.8,Health
Costa Rica,2017,life_exp_norm,0.8080000000000002,Health
Costa Rica,2018,life_exp_norm,0.8119999999999998,Health
Costa Rica,2019,life_exp_norm,0.82,Health
Costa Rica,2020,life_exp_norm,0.8239999999999997,Health
Costa Rica,2021,life_exp_norm,0.8319999999999999,Health
Croatia,2011,life_exp_norm,0.6880000000000002,Health
Croatia,2012,life_exp_norm,0.6919999999999998,Health
Croatia,2013,life_exp_norm,0.7119999999999999,Health
Croatia,2014,life_exp_norm,0.7160000000000002,Health
Croatia,2015,life_exp_norm,0.7,Health
Croatia,2016,life_exp_norm,0.7280000000000001,Health
Croatia,2017,life_exp_norm,0.72,Health
Croatia,2018,life_exp_norm,0.7280000000000001,Health
Croatia,2019,life_exp_norm,0.7439999999999998,Health
Croatia,2020,life_exp_norm,0.7039999999999997,Health
Croatia,2021,life_exp_norm,0.6639999999999998,Health
Croatia,2022,life_exp_norm,0.7080000000000001,Health
Croatia,2023,life_exp_norm,0.7439999999999998,Health
Czechia,2006,life_exp_norm,0.6680000000000001,Health
Czechia,2007,life_exp_norm,0.68,Health
Czechia,2008,life_exp_norm,0.6919999999999998,Health
Czechia,2009,life_exp_norm,0.6960000000000002,Health
Czechia,2010,life_exp_norm,0.7080000000000001,Health
Czechia,2011,life_exp_norm,0.72,Health
Czechia,2012,life_exp_norm,0.7239999999999998,Health
Czechia,2013,life_exp_norm,0.7319999999999999,Health
Czechia,2014,life_exp_norm,0.7560000000000002,Health
Czechia,2015,life_exp_norm,0.7480000000000001,Health
Czechia,2016,life_exp_norm,0.7639999999999998,Health
Czechia,2017,life_exp_norm,0.7639999999999998,Health
Czechia,2018,life_exp_norm,0.7639999999999998,Health
Czechia,2019,life_exp_norm,0.7719999999999999,Health
Czechia,2020,life_exp_norm,0.7319999999999999,Health
Czechia,2021,life_exp_norm,0.6880000000000002,Health
Czechia,2022,life_exp_norm,0.76,Health
Czechia,2023,life_exp_norm,0.7960000000000003,Health
Denmark,2006,life_exp_norm,0.7360000000000002,Health
Denmark,2007,life_exp_norm,0.7360000000000002,Health
Denmark,2008,life_exp_norm,0.7519999999999999,Health
Denmark,2009,life_exp_norm,0.76,Health
Denmark,2010,life_exp_norm,0.7719999999999999,Health
Denmark,2011,life_exp_norm,0.7960000000000003,Health
Denmark,2012,life_exp_norm,0.8080000000000002,Health
Denmark,2013,life_exp_norm,0.8160000000000003,Health
Denmark,2014,life_exp_norm,0.8280000000000001,Health
Denmark,2015,life_exp_norm,0.8319999999999999,Health
Denmark,2016,life_exp_norm,0.8360000000000002,Health
Denmark,2017,life_exp_norm,0.8439999999999998,Health
Denmark,2018,life_exp_norm,0.84,Health
Denmark,2019,life_exp_norm,0.86,Health
Denmark,2020,life_exp_norm,0.8639999999999998,Health
Denmark,2021,life_exp_norm,0.86,Health
Denmark,2022,life_exp_norm,0.8519999999999999,Health
Denmark,2023,life_exp_norm,0.8719999999999999,Health
Estonia,2006,life_exp_norm,0.5280000000000001,Health
Estonia,2007,life_exp_norm,0.5280000000000001,Health
Estonia,2008,life_exp_norm,0.5760000000000002,Health
Estonia,2009,life_exp_norm,0.6119999999999999,Health
Estonia,2010,life_exp_norm,0.64,Health
Estonia,2011,life_exp_norm,0.6639999999999998,Health
Estonia,2012,life_exp_norm,0.6680000000000001,Health
Estonia,2013,life_exp_norm,0.7,Health
Estonia,2014,life_exp_norm,0.6960000000000002,Health
Estonia,2015,life_exp_norm,0.72,Health
Estonia,2016,life_exp_norm,0.72,Health
Estonia,2017,life_exp_norm,0.7360000000000002,Health
Estonia,2018,life_exp_norm,0.74,Health
Estonia,2019,life_exp_norm,0.76,Health
Estonia,2020,life_exp_norm,0.7560000000000002,Health
Estonia,2021,life_exp_norm,0.6880000000000002,Health
Estonia,2022,life_exp_norm,0.7239999999999998,Health
Estonia,2023,life_exp_norm,0.7639999999999998,Health
Finland,2006,life_exp_norm,0.78,Health
Finland,2007,life_exp_norm,0.7839999999999998,Health
Finland,2008,life_exp_norm,0.7960000000000003,Health
Finland,2009,life_exp_norm,0.8039999999999998,Health
Finland,2010,life_exp_norm,0.8080000000000002,Health
Finland,2011,life_exp_norm,0.8239999999999997,Health
Finland,2012,life_exp_norm,0.8280000000000001,Health
Finland,2013,life_exp_norm,0.8439999999999998,Health
Finland,2014,life_exp_norm,0.8519999999999999,Health
Finland,2015,life_exp_norm,0.8639999999999998,Health
Finland,2016,life_exp_norm,0.86,Health
Finland,2017,life_exp_norm,0.8680000000000001,Health
Finland,2018,life_exp_norm,0.8719999999999999,Health
Finland,2019,life_exp_norm,0.8839999999999998,Health
Finland,2020,life_exp_norm,0.88,Health
Finland,2021,life_exp_norm,0.8760000000000002,Health
Finland,2022,life_exp_norm,0.8480000000000001,Health
Finland,2023,life_exp_norm,0.8639999999999998,Health
France,2006,life_exp_norm,0.8360000000000002,Health
France,2007,life_exp_norm,0.8519999999999999,Health
France,2008,life_exp_norm,0.8560000000000002,Health
France,2009,life_exp_norm,0.86,Health
France,2010,life_exp_norm,0.8719999999999999,Health
France,2011,life_exp_norm,0.8919999999999999,Health
France,2012,life_exp_norm,0.8839999999999998,Health
France,2013,life_exp_norm,0.8960000000000002,Health
France,2014,life_exp_norm,0.9160000000000004,Health
France,2015,life_exp_norm,0.8960000000000002,Health
France,2016,life_exp_norm,0.908,Health
France,2017,life_exp_norm,0.908,Health
France,2018,life_exp_norm,0.912,Health
France,2019,life_exp_norm,0.92,Health
France,2020,life_exp_norm,0.8919999999999999,Health
France,2021,life_exp_norm,0.8960000000000002,Health
France,2022,life_exp_norm,0.8919999999999999,Health
France,2023,life_exp_norm,0.92,Health
Germany,2006,life_exp_norm,0.7960000000000003,Health
Germany,2007,life_exp_norm,0.8039999999999998,Health
Germany,2008,life_exp_norm,0.8080000000000002,Health
Germany,2009,life_exp_norm,0.8119999999999998,Health
Germany,2010,life_exp_norm,0.82,Health
Germany,2011,life_exp_norm,0.8239999999999997,Health
Germany,2012,life_exp_norm,0.8280000000000001,Health
Germany,2013,life_exp_norm,0.8239999999999997,Health
Germany,2014,life_exp_norm,0.8480000000000001,Health
Germany,2015,life_exp_norm,0.8280000000000001,Health
Germany,2016,life_exp_norm,0.84,Health
Germany,2017,life_exp_norm,0.8439999999999998,Health
Germany,2018,life_exp_norm,0.84,Health
Germany,2019,life_exp_norm,0.8519999999999999,Health
Germany,2020,life_exp_norm,0.8439999999999998,Health
Germany,2021,life_exp_norm,0.8319999999999999,Health
Germany,2022,life_exp_norm,0.8280000000000001,Health
Germany,2023,life_exp_norm,0.8439999999999998,Health
Greece,2006,life_exp_norm,0.7960000000000003,Health
Greece,2007,life_exp_norm,0.7880000000000001,Health
Greece,2008,life_exp_norm,0.8080000000000002,Health
Greece,2009,life_exp_norm,0.8160000000000003,Health
Greece,2010,life_exp_norm,0.8239999999999997,Health
Greece,2011,life_exp_norm,0.8319999999999999,Health
Greece,2012,life_exp_norm,0.8280000000000001,Health
Greece,2013,life_exp_norm,0.8560000000000002,Health
Greece,2014,life_exp_norm,0.86,Health
Greece,2015,life_exp_norm,0.8439999999999998,Health
Greece,2016,life_exp_norm,0.86,Health
Greece,2017,life_exp_norm,0.8560000000000002,Health
Greece,2018,life_exp_norm,0.8760000000000002,Health
Greece,2019,life_exp_norm,0.8680000000000001,Health
Greece,2020,life_exp_norm,0.8560000000000002,Health
Greece,2021,life_exp_norm,0.8080000000000002,Health
Greece,2022,life_exp_norm,0.8319999999999999,Health
Greece,2023,life_exp_norm,0.8719999999999999,Health
Hungary,2006,life_exp_norm,0.54,Health
Hungary,2007,life_exp_norm,0.5439999999999998,Health
Hungary,2008,life_exp_norm,0.5680000000000001,Health
Hungary,2009,life_exp_norm,0.5760000000000002,Health
Hungary,2010,life_exp_norm,0.5880000000000001,Health
Hungary,2011,life_exp_norm,0.6039999999999998,Health
Hungary,2012,life_exp_norm,0.6119999999999999,Health
Hungary,2013,life_exp_norm,0.6319999999999999,Health
Hungary,2014,life_exp_norm,0.64,Health
Hungary,2015,life_exp_norm,0.6280000000000001,Health
Hungary,2016,life_exp_norm,0.6480000000000001,Health
Hungary,2017,life_exp_norm,0.64,Health
Hungary,2018,life_exp_norm,0.6480000000000001,Health
Hungary,2019,life_exp_norm,0.66,Health
Hungary,2020,life_exp_norm,0.62,Health
Hungary,2021,life_exp_norm,0.5639999999999997,Health
Hungary,2022,life_exp_norm,0.64,Health
Hungary,2023,life_exp_norm,0.6680000000000001,Health
Iceland,2008,life_exp_norm,0.8639999999999998,Health
Iceland,2009,life_exp_norm,0.8719999999999999,Health
Iceland,2010,life_exp_norm,0.8760000000000002,Health
Iceland,2011,life_exp_norm,0.8960000000000002,Health
Iceland,2012,life_exp_norm,0.92,Health
Iceland,2013,life_exp_norm,0.8839999999999998,Health
Iceland,2014,life_exp_norm,0.9160000000000004,Health
Iceland,2015,life_exp_norm,0.9,Health
Iceland,2016,life_exp_norm,0.8880000000000001,Health
Iceland,2017,life_exp_norm,0.9039999999999998,Health
Iceland,2018,life_exp_norm,0.9160000000000004,Health
Iceland,2019,life_exp_norm,0.9280000000000002,Health
Iceland,2020,life_exp_norm,0.9239999999999998,Health
Ireland,2006,life_exp_norm,0.7719999999999999,Health
Ireland,2007,life_exp_norm,0.7880000000000001,Health
Ireland,2008,life_exp_norm,0.8080000000000002,Health
Ireland,2009,life_exp_norm,0.8080000000000002,Health
Ireland,2010,life_exp_norm,0.8319999999999999,Health
Ireland,2011,life_exp_norm,0.8360000000000002,Health
Ireland,2012,life_exp_norm,0.8360000000000002,Health
Ireland,2013,life_exp_norm,0.84,Health
Ireland,2014,life_exp_norm,0.8560000000000002,Health
Ireland,2015,life_exp_norm,0.86,Health
Ireland,2016,life_exp_norm,0.8680000000000001,Health
Ireland,2017,life_exp_norm,0.8880000000000001,Health
Ireland,2018,life_exp_norm,0.8880000000000001,Health
Ireland,2019,life_exp_norm,0.912,Health
Ireland,2020,life_exp_norm,0.9,Health
Ireland,2021,life_exp_norm,0.8919999999999999,Health
Ireland,2022,life_exp_norm,0.9039999999999998,Health
Ireland,2023,life_exp_norm,0.9160000000000004,Health
Israel,2021,life_exp_norm,0.9039999999999998,Health
Italy,2006,life_exp_norm,0.8560000000000002,Health
Italy,2007,life_exp_norm,0.8639999999999998,Health
Italy,2008,life_exp_norm,0.8680000000000001,Health
Italy,2009,life_exp_norm,0.8719999999999999,Health
Italy,2010,life_exp_norm,0.8880000000000001,Health
Italy,2011,life_exp_norm,0.8960000000000002,Health
Italy,2012,life_exp_norm,0.8960000000000002,Health
Italy,2013,life_exp_norm,0.9160000000000004,Health
Italy,2014,life_exp_norm,0.9280000000000002,Health
Italy,2015,life_exp_norm,0.908,Health
Italy,2016,life_exp_norm,0.9360000000000004,Health
Italy,2017,life_exp_norm,0.9239999999999998,Health
Italy,2018,life_exp_norm,0.9360000000000004,Health
Italy,2019,life_exp_norm,0.9439999999999996,Health
Italy,2020,life_exp_norm,0.8919999999999999,Health
Italy,2021,life_exp_norm,0.908,Health
Italy,2022,life_exp_norm,0.912,Health
Italy,2023,life_exp_norm,0.94,Health
Japan,2006,life_exp_norm,0.8960000000000002,Health
Japan,2007,life_exp_norm,0.9039999999999998,Health
Japan,2008,life_exp_norm,0.908,Health
Japan,2009,life_exp_norm,0.92,Health
Japan,2010,life_exp_norm,0.9160000000000004,Health
Japan,2011,life_exp_norm,0.908,Health
Japan,2012,life_exp_norm,0.9280000000000002,Health
Japan,2013,life_exp_norm,0.9360000000000004,Health
Japan,2014,life_exp_norm,0.948,Health
Japan,2015,life_exp_norm,0.9560000000000002,Health
Japan,2016,life_exp_norm,0.9639999999999996,Health
Japan,2017,life_exp_norm,0.968,Health
Japan,2018,life_exp_norm,0.972,Health
Japan,2019,life_exp_norm,0.9760000000000002,Health
Japan,2020,life_exp_norm,0.9839999999999998,Health
Japan,2021,life_exp_norm,0.98,Health
Japan,2022,life_exp_norm,0.9639999999999996,Health
Japan,2023,life_exp_norm,0.9639999999999996,Health
Korea,2006,life_exp_norm,0.7519999999999999,Health
Korea,2007,life_exp_norm,0.7680000000000001,Health
Korea,2008,life_exp_norm,0.7839999999999998,Health
Korea,2009,life_exp_norm,0.8,Health
Korea,2010,life_exp_norm,0.8080000000000002,Health
Korea,2011,life_exp_norm,0.8239999999999997,Health
Korea,2012,life_exp_norm,0.8360000000000002,Health
Korea,2013,life_exp_norm,0.8560000000000002,Health
Korea,2014,life_exp_norm,0.8719999999999999,Health
Korea,2015,life_exp_norm,0.8839999999999998,Health
Korea,2016,life_exp_norm,0.8960000000000002,Health
Korea,2017,life_exp_norm,0.908,Health
Korea,2018,life_exp_norm,0.908,Health
Korea,2019,life_exp_norm,0.932,Health
Korea,2020,life_exp_norm,0.94,Health
Korea,2021,life_exp_norm,0.9439999999999996,Health
Korea,2022,life_exp_norm,0.908,Health
Latvia,2006,life_exp_norm,0.4239999999999997,Health
Latvia,2007,life_exp_norm,0.4319999999999999,Health
Latvia,2008,life_exp_norm,0.4839999999999997,Health
Latvia,2009,life_exp_norm,0.5119999999999999,Health
Latvia,2010,life_exp_norm,0.5239999999999998,Health
Latvia,2011,life_exp_norm,0.5560000000000003,Health
Latvia,2012,life_exp_norm,0.5639999999999997,Health
Latvia,2013,life_exp_norm,0.5719999999999998,Health
Latvia,2014,life_exp_norm,0.58,Health
Latvia,2015,life_exp_norm,0.5919999999999999,Health
Latvia,2016,life_exp_norm,0.5960000000000002,Health
Latvia,2017,life_exp_norm,0.5960000000000002,Health
Latvia,2018,life_exp_norm,0.6039999999999998,Health
Latvia,2019,life_exp_norm,0.6280000000000001,Health
Latvia,2020,life_exp_norm,0.62,Health
Latvia,2021,life_exp_norm,0.5239999999999998,Health
Latvia,2022,life_exp_norm,0.58,Health
Latvia,2023,life_exp_norm,0.6239999999999998,Health
Lithuania,2006,life_exp_norm,0.44,Health
Lithuania,2007,life_exp_norm,0.4280000000000001,Health
Lithuania,2008,life_exp_norm,0.4680000000000001,Health
Lithuania,2009,life_exp_norm,0.5160000000000002,Health
