Reference area,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Australia,74.309,75.057,75.475,74.893,75.444,75.798,75.589,75.336,75.05,75.58,75.888,76.38,76.917,77.598,76.129,77.851,79.578,80.1,
Austria,72.09,73.36,74.34,74.041,74.646,74.745,75.155,75.27,75.027,75.159,75.744,76.423,77.178,77.654,76.457,76.428,78.006,77.92,
Belgium,68.496,69.805,70.263,69.756,70.266,69.979,70.05,70.321,70.501,70.282,70.933,71.89,72.977,73.604,73.468,74.057,75.41,75.456,
Bulgaria,67.366,70.794,72.972,71.395,67.436,65.98,66.115,66.712,68.352,70.363,70.801,74.117,75.329,77.678,76.384,76.493,78.859,,
Canada,76.155,76.631,76.63,75.122,75.252,75.559,76.015,76.326,76.009,76.137,76.117,76.925,77.568,78.088,74.613,77.408,79.252,79.814,
Colombia,69.416,68.787,69.285,70.75,72.041,73.044,73.695,73.682,73.949,74.227,73.819,73.417,72.736,71.401,63.133,66.015,69.93,,
Costa Rica,,,,,,,70.691,70.779,70.721,69.537,67.634,68.622,69.654,71.059,63.41,66.129,,,
Croatia,,,,,,62.57,61.135,60.515,62.14,63.501,63.194,65.348,67.371,68.657,69.24,71.17,72.458,73.539,
Czechia,73.773,74.489,75.103,73.84,73.452,74.171,74.719,75.801,76.711,77.72,79.505,81.165,82.506,82.835,82.472,82.701,84.156,84.788,85.498
Denmark,80.354,79.748,79.914,76.91,76.005,76.068,75.871,76.044,76.388,77.235,77.917,78.342,79.335,80.068,79.544,80.741,81.999,81.459,81.527
Estonia,78.392,79.232,79.071,72.82,70.032,73.38,74.905,76.105,76.744,78.444,78.235,79.99,80.428,81.287,80.71,81.002,83.453,83.592,
Finland,75.439,76.006,76.936,75.199,74.62,75.373,75.585,75.035,74.824,74.718,75.08,75.911,78.046,78.935,78.557,78.72,80.184,79.989,78.829
France,71.286,71.645,72.194,71.306,71.248,71.171,71.513,71.546,71.737,71.844,72.328,72.878,73.473,73.853,73.915,75.389,76.045,76.38,
Germany,72.18,73.992,75.039,75.382,76.15,77.674,78.202,78.649,79.097,79.362,80.081,80.64,81.303,81.953,80.505,80.628,81.662,82.122,82.39
Greece,68.543,68.672,69.122,68.348,66.605,62.466,57.892,55.643,56.045,57.644,59.101,60.553,62.288,64.101,64.043,65.389,69.07,70.04,
Hungary,65.417,65.055,64.359,65.608,65.299,65.901,67.034,68.384,71.781,73.891,76.436,78.031,77.012,78.071,77.695,81.647,83.193,83.815,
Iceland,,,85.646,81.379,81.321,81.22,81.782,82.729,83.318,85.202,86.516,85.959,84.746,84.272,81.301,,,,
Ireland,73.946,74.32,73.247,68.464,66.54,65.616,65.652,67.451,69.137,70.896,72.054,74.121,75.533,76.686,75.671,76.875,80.198,81.07,
Israel,,,,,,,,,,,,,,,,75.711,,,
Italy,64.403,64.762,64.891,63.878,63.367,63.583,63.543,62.635,62.917,63.583,64.499,65.27,65.917,66.413,65.501,65.622,67.547,69.066,70.054
Japan,75.624,76.373,76.389,75.766,75.915,76.046,76.388,77.544,78.66,79.408,80.418,81.532,82.791,83.463,83.261,83.62,84.372,84.754,
Korea,71.735,72.013,72.112,71.165,71.581,72.215,72.557,72.959,73.708,73.816,73.859,74.22,74.053,73.972,72.78,72.996,74.832,,
Latvia,74.92,76.968,77.275,69.51,67.217,69.462,70.862,72.501,72.927,74.384,75.133,76.435,78.226,79.009,78.642,77.075,78.578,79.089,
Lithuania,74.776,76.313,75.29,70.897,68.368,71.126,72.481,73.556,74.993,76.405,78.163,78.845,80.367,80.564,79.356,79.871,80.957,80.399,
Luxembourg,71.862,72.74,71.513,73.174,74.222,73.75,74.96,74.648,75.67,73.785,73.856,74.667,74.901,75.699,75.541,77.055,78.276,78.12,
Mexico,67.646,67.707,67.487,66.972,66.722,67.199,68.102,68.157,67.673,68.13,68.467,68.511,68.944,69.46,66.418,67.824,69.712,70.907,
Netherlands,74.168,75.865,77.457,77.428,76.938,77.034,77.357,76.728,76.49,77.368,78.269,79.195,80.442,81.39,81.561,82.109,83.227,83.828,83.82
New Zealand,79.403,79.838,79.693,78.697,78.436,78.921,78.404,79.249,80.392,80.115,81.437,82.695,82.974,82.768,82.13,83.232,84.108,,
Norway,80.635,81.99,82.79,82.063,81.057,81.265,81.547,81.204,81.318,80.662,80.438,80.103,80.813,81.145,80.449,81.481,82.179,81.616,
Poland,63.117,65.522,67.487,67.366,66.819,67.259,67.45,67.613,69.033,70.306,71.507,72.934,73.974,74.951,75.884,77.908,79.069,80.135,
Portugal,74.754,74.603,74.979,73.167,72.656,68.715,66.469,66.003,68.723,70.575,72.121,75.018,77.202,78.031,77.156,78.853,80.426,81.018,81.578
Romania,,68.054,68.079,67.327,68.181,67.204,68.107,67.847,68.77,68.644,69.245,71.538,72.623,73.759,73.522,69.833,71.724,71.867,
Slovak Republic,68.987,69.982,72.106,69.985,68.434,68.768,68.849,68.672,69.397,70.904,72.815,73.751,75.041,76.248,75.463,78.024,80.04,80.709,81.324
Slovenia,73.772,74.441,75.169,74.328,72.712,70.846,70.969,69.985,70.398,71.383,72.232,75.118,77.187,78.381,78.289,78.985,80.587,79.755,
Spain,70.242,71.081,69.974,65.929,64.986,64.372,62.231,61.31,62.661,64.642,66.604,68.097,69.522,70.609,68.663,70.294,72.001,73.338,
Sweden,80.921,82.02,82.382,80.866,80.719,81.971,82.314,82.626,82.769,83.11,83.591,84.133,84.686,84.46,83.326,82.641,84.12,84.661,84.235
Switzerland,81.019,81.976,83.133,82.72,80.43,81.525,81.96,81.761,82.172,82.741,82.997,83.008,83.431,84.102,83.734,83.111,83.447,84.134,
Türkiye,49.635,49.554,49.762,49.27,51.516,53.55,54.216,54.691,54.336,54.931,55.497,56.479,56.747,54.991,52.508,55.149,57.623,,
United Kingdom,75.622,75.76,75.71,74.596,74.53,74.399,75.171,75.942,76.998,77.761,78.184,79.037,79.344,79.975,79.642,79.348,79.786,80.004,
United States,76.195,76.191,75.517,72.495,71.796,71.654,72.181,72.319,72.983,73.392,73.94,74.616,75.298,75.877,71.795,73.68,75.803,76.641,
