"CubeId";"snboffzisa"
"PublishingDate";"2025-11-21 09:00"

"Date";"D0";"Value"
"2024-10";"LZ";"1"
"2024-10";"H";"3.4"
"2024-10";"SRF";"3.65"
"2024-10";"EF";"3.25"
"2024-10";"L0";"5"
"2024-11";"LZ";"1"
"2024-11";"H";"3.4"
"2024-11";"SRF";"3.65"
"2024-11";"EF";"3.25"
"2024-11";"L0";"4.75"
"2024-12";"LZ";"0.5"
"2024-12";"H";"3.15"
"2024-12";"SRF";"3.4"
"2024-12";"EF";"3"
"2024-12";"L0";"4.75"
"2025-01";"LZ";"0.5"
"2025-01";"H";"2.9"
"2025-01";"SRF";"3.15"
"2025-01";"EF";"2.75"
"2025-01";"L0";"4.75"
"2025-02";"LZ";"0.5"
"2025-02";"H";"2.9"
"2025-02";"SRF";"3.15"
"2025-02";"EF";"2.75"
"2025-02";"L0";"4.5"
"2025-03";"LZ";"0.25"
"2025-03";"H";"2.65"
"2025-03";"SRF";"2.9"
"2025-03";"EF";"2.5"
"2025-03";"L0";"4.5"
"2025-04";"LZ";"0.25"
"2025-04";"H";"2.4"
"2025-04";"SRF";"2.65"
"2025-04";"EF";"2.25"
"2025-04";"L0";"4.5"
"2025-05";"LZ";"0.25"
"2025-05";"H";"2.4"
"2025-05";"SRF";"2.65"
"2025-05";"EF";"2.25"
"2025-05";"L0";"4.25"
"2025-06";"LZ";"0"
"2025-06";"H";"2.15"
"2025-06";"SRF";"2.4"
"2025-06";"EF";"2"
"2025-06";"L0";"4.25"
"2025-07";"LZ";"0"
"2025-07";"H";"2.15"
"2025-07";"SRF";"2.4"
"2025-07";"EF";"2"
"2025-07";"L0";"4.25"
"2025-08";"LZ";"0"
"2025-08";"H";"2.15"
"2025-08";"SRF";"2.4"
"2025-08";"EF";"2"
"2025-08";"L0";"4"
"2025-09";"LZ";"0"
"2025-09";"H";"2.15"
"2025-09";"SRF";"2.4"
"2025-09";"EF";"2"
"2025-09";"L0";"4"
"2025-10";"LZ";"0"
"2025-10";"H";"2.15"
"2025-10";"SRF";"2.4"
"2025-10";"EF";"2"
"2025-10";"L0";"4"
