,Reference area,Measure,Unit of measure,Domain,TIME_PERIOD,OBS_VALUE,Observation status
0,Australia,Long-term unemployment rate,Percentage of labour force,Work and job quality,2020,1.3068412847,Normal value
1,Australia,Long-term unemployment rate,Percentage of labour force,Work and job quality,2019,1.2395478944,Normal value
2,Australia,Long-term unemployment rate,Percentage of labour force,Work and job quality,2017,1.3578997436,Normal value
3,Australia,Long-term unemployment rate,Percentage of labour force,Work and job quality,2016,1.3934025953,Normal value
4,Australia,Long-term unemployment rate,Percentage of labour force,Work and job quality,2015,1.4567299967,Normal value
5,Australia,Long-term unemployment rate,Percentage of labour force,Work and job quality,2014,1.3618565689,Normal value
6,Australia,Life expectancy at birth,Years,Health,2014,82.3,Normal value
7,Australia,Life expectancy at birth,Years,Health,2013,82.1,Normal value
8,Australia,Life expectancy at birth,Years,Health,2012,82.0,Normal value
9,Australia,Life expectancy at birth,Years,Health,2011,81.9,Normal value
10,Australia,Life expectancy at birth,Years,Health,2010,81.7,Normal value
11,Australia,Life expectancy at birth,Years,Health,2009,81.5,Normal value
12,Australia,Life expectancy at birth,Years,Health,2008,81.4,Normal value
13,Australia,Life expectancy at birth,Years,Health,2007,81.3,Normal value
14,Australia,Life expectancy at birth,Years,Health,2006,81.0,Normal value
15,Australia,Life expectancy at birth,Years,Health,2005,80.8,Normal value
16,Australia,Life expectancy at birth,Years,Health,2004,80.5,Normal value
17,Australia,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2009,80.6204494212,Normal value
18,Australia,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2008,81.1855974383,Normal value
19,Australia,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2007,80.8964268222,Normal value
20,Australia,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2006,80.8464239144,Normal value
21,Australia,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2005,80.7732374077,Normal value
22,Australia,Housing affordability,Percentage of household gross adjusted disposable income,Housing,2004,80.7427856471,Normal value
23,Australia,Student reading skills,Points,Knowledge and skills,2018,502.6317242965,Normal value
24,Australia,Student reading skills,Points,Knowledge and skills,2015,502.9005598086,Normal value
25,Australia,Student reading skills,Points,Knowledge and skills,2012,511.8039976357,Normal value
26,Australia,Student reading skills,Points,Knowledge and skills,2009,514.9006552821,Normal value
27,Australia,Student reading skills,Points,Knowledge and skills,2006,512.8932915909,Normal value
28,Australia,Life expectancy at birth,Years,Health,2023,83.0,Normal value
29,Australia,Life expectancy at birth,Years,Health,2018,82.8,Normal value
30,Australia,Student reading skills,Points,Knowledge and skills,2022,498.05,Normal value
31,Australia,Adult literacy skills,Points,Knowledge and skills,2012,280.40107,Normal value
32,Australia,Life satisfaction,0-10 scale,Subjective well-being,2020,7.2,Normal value
